,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio
Godzilla,Godzilla,1,0.9994,0.9953,0.9922,-0.9923,-0.9162,10,2,2,3,3,219,174,98,70,36,"{'neg': 0.054, 'neu': 0.791, 'pos': 0.155, 'compound': 0.9998}","{'neg': 0.093, 'neu': 0.763, 'pos': 0.144, 'compound': 0.9988}","{'neg': 0.064, 'neu': 0.794, 'pos': 0.142, 'compound': 0.9922}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.087, 'neu': 0.86, 'pos': 0.054, 'compound': -0.9162}",438,348,98,0,36,0.054,0.093,0.064,0.0,0.087,0.155,0.144,0.142,0.0,0.054,0.9998,0.9988,0.9922,0.0,-0.9162,20,597,0.03350083752093802
The Curious Case of Benjamin Button,"Curious-Case-of-Benjamin-Button,-The",1,0.9996,0.9999,0.9935,0.9954,0.9959,8,15,10,5,6,235,298,106,106,84,"{'neg': 0.058, 'neu': 0.798, 'pos': 0.144, 'compound': 0.9999}","{'neg': 0.047, 'neu': 0.79, 'pos': 0.163, 'compound': 1.0}","{'neg': 0.073, 'neu': 0.827, 'pos': 0.1, 'compound': 0.9984}","{'neg': 0.04, 'neu': 0.85, 'pos': 0.109, 'compound': 0.9954}","{'neg': 0.083, 'neu': 0.774, 'pos': 0.143, 'compound': 0.9959}",470,894,212,106,84,0.058,0.047,0.073,0.04,0.083,0.144,0.163,0.1,0.109,0.143,0.9999,1.0,0.9984,0.9954,0.9959,44,829,0.05307599517490953
War for the Planet of the Apes,War-for-the-Planet-of-the-Apes,1,-0.9854,-0.9948,-0.9993,-0.9532,0.9195,5,6,0,1,0,165,186,102,48,42,"{'neg': 0.144, 'neu': 0.747, 'pos': 0.109, 'compound': -0.9854}","{'neg': 0.145, 'neu': 0.735, 'pos': 0.121, 'compound': -0.9948}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.1, 'neu': 0.849, 'pos': 0.051, 'compound': -0.9532}","{'neg': 0.092, 'neu': 0.781, 'pos': 0.127, 'compound': 0.9195}",165,186,0,48,42,0.144,0.145,0.0,0.1,0.092,0.109,0.121,0.0,0.051,0.127,-0.9854,-0.9948,0.0,-0.9532,0.9195,12,543,0.022099447513812154
Frozen,Frozen,1,-0.9868,-0.9933,-0.9935,0.9622,0.3687,10,7,6,0,1,397,262,214,26,24,"{'neg': 0.147, 'neu': 0.708, 'pos': 0.145, 'compound': -0.9982}","{'neg': 0.142, 'neu': 0.718, 'pos': 0.14, 'compound': -0.9946}","{'neg': 0.143, 'neu': 0.728, 'pos': 0.129, 'compound': -0.9984}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1191,786,428,0,0,0.147,0.142,0.143,0.0,0.0,0.145,0.14,0.129,0.0,0.0,-0.9982,-0.9946,-0.9984,0.0,0.0,24,923,0.02600216684723727
Zootopia,Zootopia,1,0.9993,0.9978,-0.9385,0.9882,0.9976,13,9,3,3,3,476,358,88,71,82,"{'neg': 0.113, 'neu': 0.727, 'pos': 0.16, 'compound': 0.9999}","{'neg': 0.113, 'neu': 0.736, 'pos': 0.151, 'compound': 0.9978}","{'neg': 0.124, 'neu': 0.773, 'pos': 0.103, 'compound': -0.978}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.095, 'neu': 0.684, 'pos': 0.22, 'compound': 0.9994}",1428,358,176,0,164,0.113,0.113,0.124,0.0,0.095,0.16,0.151,0.103,0.0,0.22,0.9999,0.9978,-0.978,0.0,0.9994,31,1075,0.02883720930232558
The Matrix Reloaded,"Matrix-Reloaded,-The",1,-0.9628,-0.9793,-0.9909,0.9508,-0.9631,2,2,1,3,0,115,105,58,58,44,"{'neg': 0.09, 'neu': 0.842, 'pos': 0.068, 'compound': -0.9952}","{'neg': 0.092, 'neu': 0.847, 'pos': 0.061, 'compound': -0.9941}","{'neg': 0.144, 'neu': 0.819, 'pos': 0.037, 'compound': -0.9909}","{'neg': 0.029, 'neu': 0.887, 'pos': 0.083, 'compound': 0.9859}","{'neg': 0.194, 'neu': 0.65, 'pos': 0.157, 'compound': -0.9897}",345,210,58,116,88,0.09,0.092,0.144,0.029,0.194,0.068,0.061,0.037,0.083,0.157,-0.9952,-0.9941,-0.9909,0.9859,-0.9897,8,380,0.021052631578947368
Hancock,Hancock,1,0.998,-0.9974,0.9972,-0.9954,-0.9983,10,13,5,5,2,390,462,264,210,166,"{'neg': 0.067, 'neu': 0.825, 'pos': 0.108, 'compound': 0.9998}","{'neg': 0.118, 'neu': 0.782, 'pos': 0.1, 'compound': -0.9994}","{'neg': 0.074, 'neu': 0.804, 'pos': 0.123, 'compound': 0.9998}","{'neg': 0.114, 'neu': 0.824, 'pos': 0.063, 'compound': -0.9994}","{'neg': 0.14, 'neu': 0.811, 'pos': 0.048, 'compound': -0.9998}",1170,1386,1056,630,498,0.067,0.118,0.074,0.114,0.14,0.108,0.1,0.123,0.063,0.048,0.9998,-0.9994,0.9998,-0.9994,-0.9998,35,1492,0.023458445040214475
Thor,Thor,1,-0.9948,0.9992,-0.9993,-0.9929,-0.9951,15,17,12,9,8,474,348,340,187,188,"{'neg': 0.125, 'neu': 0.765, 'pos': 0.11, 'compound': -0.9996}","{'neg': 0.069, 'neu': 0.811, 'pos': 0.12, 'compound': 0.9992}","{'neg': 0.144, 'neu': 0.757, 'pos': 0.099, 'compound': -0.9999}","{'neg': 0.137, 'neu': 0.749, 'pos': 0.114, 'compound': -0.9993}","{'neg': 0.139, 'neu': 0.751, 'pos': 0.11, 'compound': -0.9994}",1896,348,1020,561,564,0.125,0.069,0.144,0.137,0.139,0.11,0.12,0.099,0.114,0.11,-0.9996,0.9992,-0.9999,-0.9993,-0.9994,61,1537,0.039687703318152245
X-Men Origins: Wolverine,X-Men-Origins-Wolverine,1,-0.9423,0.988,-0.9887,-0.9481,-0.994,8,8,8,3,8,383,285,228,102,150,"{'neg': 0.101, 'neu': 0.802, 'pos': 0.096, 'compound': -0.9903}","{'neg': 0.113, 'neu': 0.756, 'pos': 0.131, 'compound': 0.9985}","{'neg': 0.109, 'neu': 0.795, 'pos': 0.096, 'compound': -0.9986}","{'neg': 0.12, 'neu': 0.767, 'pos': 0.113, 'compound': -0.991}","{'neg': 0.12, 'neu': 0.794, 'pos': 0.087, 'compound': -0.9993}",1149,855,684,306,450,0.101,0.113,0.109,0.12,0.12,0.096,0.131,0.096,0.113,0.087,-0.9903,0.9985,-0.9986,-0.991,-0.9993,35,1148,0.03048780487804878
Angels & Demons,Angels-&-Demons,1,-0.9958,-0.9912,-0.9856,0.8383,-0.4165,20,10,13,6,3,385,150,143,100,63,"{'neg': 0.098, 'neu': 0.815, 'pos': 0.086, 'compound': -0.9995}","{'neg': 0.096, 'neu': 0.842, 'pos': 0.062, 'compound': -0.9989}","{'neg': 0.125, 'neu': 0.762, 'pos': 0.113, 'compound': -0.9981}","{'neg': 0.09, 'neu': 0.809, 'pos': 0.101, 'compound': 0.9298}","{'neg': 0.102, 'neu': 0.786, 'pos': 0.112, 'compound': 0.3252}",1155,450,429,200,126,0.098,0.096,0.125,0.09,0.102,0.086,0.062,0.113,0.101,0.112,-0.9995,-0.9989,-0.9981,0.9298,0.3252,52,841,0.06183115338882283
How to Train Your Dragon 2,How-to-Train-Your-Dragon-2,1,0.9956,-0.9275,0.9958,0.9381,0.9965,10,4,4,3,2,395,121,132,90,85,"{'neg': 0.133, 'neu': 0.713, 'pos': 0.154, 'compound': 0.9956}","{'neg': 0.087, 'neu': 0.828, 'pos': 0.085, 'compound': -0.9878}","{'neg': 0.127, 'neu': 0.692, 'pos': 0.181, 'compound': 0.9989}","{'neg': 0.043, 'neu': 0.883, 'pos': 0.074, 'compound': 0.99}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",395,363,264,270,0,0.133,0.087,0.127,0.043,0.0,0.154,0.085,0.181,0.074,0.0,0.9956,-0.9878,0.9989,0.99,0.0,23,823,0.027946537059538274
Rise of the Guardians,Rise-of-the-Guardians,1,0.9994,0.9996,0.9989,0.9983,0.9982,4,5,4,7,3,343,289,208,218,142,"{'neg': 0.083, 'neu': 0.753, 'pos': 0.164, 'compound': 0.9999}","{'neg': 0.058, 'neu': 0.751, 'pos': 0.191, 'compound': 1.0}","{'neg': 0.07, 'neu': 0.763, 'pos': 0.167, 'compound': 0.9999}","{'neg': 0.112, 'neu': 0.706, 'pos': 0.182, 'compound': 0.9998}","{'neg': 0.049, 'neu': 0.797, 'pos': 0.153, 'compound': 0.9998}",1029,867,832,654,426,0.083,0.058,0.07,0.112,0.049,0.164,0.191,0.167,0.182,0.153,0.9999,1.0,0.9999,0.9998,0.9998,23,1200,0.019166666666666665
Star Trek,Star-Trek,1,-0.988,0.9834,0.9973,0.9975,-0.9957,9,16,4,9,3,275,154,118,107,66,"{'neg': 0.138, 'neu': 0.732, 'pos': 0.13, 'compound': -0.9966}","{'neg': 0.094, 'neu': 0.785, 'pos': 0.121, 'compound': 0.9954}","{'neg': 0.061, 'neu': 0.812, 'pos': 0.127, 'compound': 0.9993}","{'neg': 0.068, 'neu': 0.78, 'pos': 0.153, 'compound': 0.9993}","{'neg': 0.163, 'neu': 0.757, 'pos': 0.08, 'compound': -0.9957}",550,308,236,214,66,0.138,0.094,0.061,0.068,0.163,0.13,0.121,0.127,0.153,0.08,-0.9966,0.9954,0.9993,0.9993,-0.9957,41,720,0.05694444444444444
