,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio,tot_coref_sents,pct_coref_sents,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5
Amour,Amour,1,0.9998,0.9996,0.8113,0.9841,-0.7326,"{'neg': 0.091, 'neu': 0.752, 'pos': 0.158, 'compound': 1.0}","{'neg': 0.093, 'neu': 0.682, 'pos': 0.224, 'compound': 0.9996}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.091,0.093,0.0,0.0,0.0,0.158,0.224,0.0,0.0,0.0,1.0,0.9996,0.0,0.0,0.0,38,909,0.041804180418041806,32,0.0352035203520352,519,226,98,38,28,26,6,0,0,0
Next Friday,Next-Friday,1,0.9991,-0.5036,-0.9946,-0.981,0.9606,"{'neg': 0.093, 'neu': 0.724, 'pos': 0.182, 'compound': 0.9998}","{'neg': 0.096, 'neu': 0.801, 'pos': 0.103, 'compound': -0.5247}","{'neg': 0.166, 'neu': 0.705, 'pos': 0.13, 'compound': -0.9986}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.093,0.096,0.166,0.0,0.0,0.182,0.103,0.13,0.0,0.0,0.9998,-0.5247,-0.9986,0.0,0.0,18,658,0.02735562310030395,16,0.0243161094224924,259,142,152,59,46,3,5,8,0,0
Election,Election,1,0.9999,0.9998,0.9999,-0.9077,0.994,"{'neg': 0.081, 'neu': 0.723, 'pos': 0.196, 'compound': 1.0}","{'neg': 0.096, 'neu': 0.736, 'pos': 0.169, 'compound': 1.0}","{'neg': 0.083, 'neu': 0.656, 'pos': 0.261, 'compound': 1.0}","{'neg': 0.156, 'neu': 0.699, 'pos': 0.146, 'compound': -0.9587}","{'neg': 0.079, 'neu': 0.737, 'pos': 0.184, 'compound': 0.9996}",0.081,0.096,0.083,0.156,0.079,0.196,0.169,0.261,0.146,0.184,1.0,1.0,1.0,-0.9587,0.9996,45,1105,0.04072398190045249,98,0.08868778280542987,500,264,185,96,60,52,11,19,8,8
Pulp Fiction,Pulp-Fiction,1,-0.9677,-0.9861,0.9944,-0.9908,0.9986,"{'neg': 0.14, 'neu': 0.72, 'pos': 0.141, 'compound': -0.9885}","{'neg': 0.167, 'neu': 0.663, 'pos': 0.17, 'compound': -0.9958}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.14, 'neu': 0.75, 'pos': 0.11, 'compound': -0.9908}","{'neg': 0.048, 'neu': 0.811, 'pos': 0.141, 'compound': 0.9996}",0.14,0.167,0.0,0.14,0.048,0.141,0.17,0.0,0.11,0.141,-0.9885,-0.9958,0.0,-0.9908,0.9996,39,1193,0.03269069572506287,38,0.03185247275775356,356,392,194,129,122,16,13,0,5,4
Easy A,Easy-A,1,0.9998,0.9756,0.8907,0.994,0.9669,"{'neg': 0.124, 'neu': 0.72, 'pos': 0.156, 'compound': 1.0}","{'neg': 0.089, 'neu': 0.782, 'pos': 0.129, 'compound': 0.9973}","{'neg': 0.128, 'neu': 0.704, 'pos': 0.167, 'compound': 0.8907}","{'neg': 0.106, 'neu': 0.708, 'pos': 0.186, 'compound': 0.9985}","{'neg': 0.089, 'neu': 0.762, 'pos': 0.149, 'compound': 0.99}",0.124,0.089,0.128,0.106,0.089,0.156,0.129,0.167,0.186,0.149,1.0,0.9973,0.8907,0.9985,0.99,46,1175,0.03914893617021276,42,0.03574468085106383,808,146,81,69,71,24,4,4,6,4
The Good Girl,"Good-Girl,-The",1,-0.9983,0.9949,0.9955,0.5968,0.9947,"{'neg': 0.156, 'neu': 0.716, 'pos': 0.128, 'compound': -0.9999}","{'neg': 0.107, 'neu': 0.739, 'pos': 0.154, 'compound': 0.9949}","{'neg': 0.073, 'neu': 0.777, 'pos': 0.15, 'compound': 0.9988}","{'neg': 0.051, 'neu': 0.876, 'pos': 0.073, 'compound': 0.7783}","{'neg': 0.084, 'neu': 0.73, 'pos': 0.186, 'compound': 0.9986}",0.156,0.107,0.073,0.051,0.084,0.128,0.154,0.15,0.073,0.186,-0.9999,0.9949,0.9988,0.7783,0.9986,39,924,0.04220779220779221,93,0.10064935064935066,439,192,154,67,72,53,15,8,3,14
An Education,An-Education,1,0.9997,0.9993,0.9987,0.9796,0.7277,"{'neg': 0.098, 'neu': 0.749, 'pos': 0.153, 'compound': 0.9999}","{'neg': 0.074, 'neu': 0.782, 'pos': 0.144, 'compound': 0.9999}","{'neg': 0.058, 'neu': 0.82, 'pos': 0.122, 'compound': 0.9997}","{'neg': 0.075, 'neu': 0.795, 'pos': 0.13, 'compound': 0.9945}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.098,0.074,0.058,0.075,0.0,0.153,0.144,0.122,0.13,0.0,0.9999,0.9999,0.9997,0.9945,0.0,26,1377,0.01888162672476398,84,0.06100217864923747,588,382,253,93,61,22,34,20,8,0
Extract,Extract,1,-0.9957,0.9986,0.981,0.9969,0.952,"{'neg': 0.118, 'neu': 0.764, 'pos': 0.117, 'compound': -0.9997}","{'neg': 0.108, 'neu': 0.723, 'pos': 0.169, 'compound': 0.9998}","{'neg': 0.114, 'neu': 0.748, 'pos': 0.138, 'compound': 0.9944}","{'neg': 0.065, 'neu': 0.782, 'pos': 0.153, 'compound': 0.9996}","{'neg': 0.097, 'neu': 0.792, 'pos': 0.111, 'compound': 0.952}",0.118,0.108,0.114,0.065,0.097,0.117,0.169,0.138,0.153,0.111,-0.9997,0.9998,0.9944,0.9996,0.952,44,1431,0.030747728860936407,133,0.09294199860237597,799,234,162,118,118,50,26,29,15,13
Juno,Juno,1,1.0,0.9989,0.9962,0.9983,0.9959,"{'neg': 0.096, 'neu': 0.707, 'pos': 0.197, 'compound': 1.0}","{'neg': 0.053, 'neu': 0.79, 'pos': 0.158, 'compound': 0.9997}","{'neg': 0.06, 'neu': 0.79, 'pos': 0.15, 'compound': 0.999}","{'neg': 0.065, 'neu': 0.733, 'pos': 0.201, 'compound': 0.9983}","{'neg': 0.085, 'neu': 0.741, 'pos': 0.174, 'compound': 0.9989}",0.096,0.053,0.06,0.065,0.085,0.197,0.158,0.15,0.201,0.174,1.0,0.9997,0.999,0.9983,0.9989,39,1187,0.03285593934288121,75,0.06318449873631002,649,200,135,108,95,43,10,14,2,6
The Piano,"Piano,-The",1,0.9995,-0.9822,-0.9259,0.982,0.7277,"{'neg': 0.075, 'neu': 0.737, 'pos': 0.188, 'compound': 0.9999}","{'neg': 0.115, 'neu': 0.793, 'pos': 0.092, 'compound': -0.9942}","{'neg': 0.105, 'neu': 0.794, 'pos': 0.1, 'compound': -0.9259}","{'neg': 0.132, 'neu': 0.686, 'pos': 0.182, 'compound': 0.982}","{'neg': 0.072, 'neu': 0.813, 'pos': 0.115, 'compound': 0.7277}",0.075,0.115,0.105,0.132,0.072,0.188,0.092,0.1,0.182,0.115,0.9999,-0.9942,-0.9259,0.982,0.7277,23,510,0.045098039215686274,13,0.025490196078431372,174,150,83,55,48,8,2,1,1,1
