,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio,tot_coref_sents,pct_coref_sents,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5
Avatar,Avatar,1,0.9919,0.9946,0.9861,0.7676,-0.9982,"{'neg': 0.13, 'neu': 0.727, 'pos': 0.144, 'compound': 0.9994}","{'neg': 0.105, 'neu': 0.754, 'pos': 0.14, 'compound': 0.9996}","{'neg': 0.094, 'neu': 0.766, 'pos': 0.14, 'compound': 0.9961}","{'neg': 0.11, 'neu': 0.767, 'pos': 0.124, 'compound': 0.7676}","{'neg': 0.195, 'neu': 0.712, 'pos': 0.093, 'compound': -0.9982}",0.13,0.105,0.094,0.11,0.195,0.144,0.14,0.14,0.124,0.093,0.9994,0.9996,0.9961,0.7676,-0.9982,31,988,0.03137651821862348,54,0.05465587044534413,428,227,127,132,74,24,20,8,1,1
The Dark Knight Rises,"Dark-Knight-Rises,-The",1,0.9871,-0.9975,0.8331,-0.9751,-0.9954,"{'neg': 0.121, 'neu': 0.742, 'pos': 0.137, 'compound': 0.9983}","{'neg': 0.124, 'neu': 0.792, 'pos': 0.085, 'compound': -0.9997}","{'neg': 0.139, 'neu': 0.722, 'pos': 0.139, 'compound': 0.9404}","{'neg': 0.118, 'neu': 0.776, 'pos': 0.106, 'compound': -0.9966}","{'neg': 0.135, 'neu': 0.774, 'pos': 0.091, 'compound': -0.9987}",0.121,0.124,0.139,0.118,0.135,0.137,0.085,0.139,0.106,0.091,0.9983,-0.9997,0.9404,-0.9966,-0.9987,42,968,0.04338842975206612,56,0.05785123966942149,265,226,169,149,159,18,15,3,9,11
The Avengers,"Avengers,-The",1,0.9704,0.979,0.9189,-0.9782,0.9739,"{'neg': 0.106, 'neu': 0.773, 'pos': 0.12, 'compound': 0.9976}","{'neg': 0.121, 'neu': 0.744, 'pos': 0.135, 'compound': 0.9969}","{'neg': 0.094, 'neu': 0.791, 'pos': 0.114, 'compound': 0.9716}","{'neg': 0.124, 'neu': 0.77, 'pos': 0.106, 'compound': -0.9782}","{'neg': 0.077, 'neu': 0.804, 'pos': 0.118, 'compound': 0.9929}",0.106,0.121,0.094,0.124,0.077,0.12,0.135,0.114,0.106,0.118,0.9976,0.9969,0.9716,-0.9782,0.9929,28,915,0.030601092896174863,60,0.06557377049180328,286,319,122,133,55,23,17,13,6,1
Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,1,0.998,-0.9658,0.9959,0.9297,0.9926,"{'neg': 0.116, 'neu': 0.724, 'pos': 0.16, 'compound': 0.998}","{'neg': 0.091, 'neu': 0.841, 'pos': 0.068, 'compound': -0.9658}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.116,0.091,0.0,0.0,0.0,0.16,0.068,0.0,0.0,0.0,0.998,-0.9658,0.0,0.0,0.0,33,877,0.037628278221208664,5,0.005701254275940707,331,207,134,132,73,4,1,0,0,0
Men in Black 3,Men-in-Black-3,1,0.9979,0.9839,0.9903,-0.9787,0.9617,"{'neg': 0.118, 'neu': 0.743, 'pos': 0.139, 'compound': 0.9999}","{'neg': 0.103, 'neu': 0.782, 'pos': 0.115, 'compound': 0.9979}","{'neg': 0.103, 'neu': 0.718, 'pos': 0.179, 'compound': 0.9987}","{'neg': 0.104, 'neu': 0.849, 'pos': 0.046, 'compound': -0.9939}","{'neg': 0.053, 'neu': 0.839, 'pos': 0.108, 'compound': 0.9894}",0.118,0.103,0.103,0.104,0.053,0.139,0.115,0.179,0.046,0.108,0.9999,0.9979,0.9987,-0.9939,0.9894,37,1243,0.029766693483507644,231,0.18584070796460178,732,357,60,56,38,137,70,9,9,6
King Kong,King-Kong,1,0.9992,0.9985,0.6024,-0.9877,-0.9934,"{'neg': 0.102, 'neu': 0.737, 'pos': 0.161, 'compound': 0.9999}","{'neg': 0.114, 'neu': 0.658, 'pos': 0.228, 'compound': 0.9996}","{'neg': 0.093, 'neu': 0.821, 'pos': 0.085, 'compound': 0.6024}","{'neg': 0.119, 'neu': 0.829, 'pos': 0.052, 'compound': -0.9984}","{'neg': 0.128, 'neu': 0.842, 'pos': 0.03, 'compound': -0.9982}",0.102,0.114,0.093,0.119,0.128,0.161,0.228,0.085,0.052,0.03,0.9999,0.9996,0.6024,-0.9984,-0.9982,26,663,0.0392156862745098,64,0.09653092006033183,285,119,107,81,71,34,7,9,11,3
Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,1,-0.9919,0.5669,-0.9958,0.9996,-0.9301,"{'neg': 0.152, 'neu': 0.704, 'pos': 0.144, 'compound': -0.9994}","{'neg': 0.126, 'neu': 0.737, 'pos': 0.136, 'compound': 0.6947}","{'neg': 0.122, 'neu': 0.806, 'pos': 0.072, 'compound': -0.9989}","{'neg': 0.074, 'neu': 0.736, 'pos': 0.19, 'compound': 0.9999}","{'neg': 0.123, 'neu': 0.758, 'pos': 0.119, 'compound': -0.9763}",0.152,0.126,0.122,0.074,0.123,0.144,0.136,0.072,0.19,0.119,-0.9994,0.6947,-0.9989,0.9999,-0.9763,26,931,0.027926960257787327,56,0.06015037593984962,293,212,162,157,107,21,16,12,4,3
Cars 2,Cars-2,1,0.9999,0.9991,0.9977,0.9971,0.9978,"{'neg': 0.072, 'neu': 0.738, 'pos': 0.19, 'compound': 1.0}","{'neg': 0.116, 'neu': 0.7, 'pos': 0.185, 'compound': 0.9998}","{'neg': 0.076, 'neu': 0.785, 'pos': 0.139, 'compound': 0.9994}","{'neg': 0.095, 'neu': 0.758, 'pos': 0.147, 'compound': 0.9992}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.072,0.116,0.076,0.095,0.0,0.19,0.185,0.139,0.147,0.0,1.0,0.9998,0.9994,0.9992,0.0,34,1299,0.02617397998460354,121,0.09314857582755966,511,269,209,218,92,16,53,30,22,0
2012,2012,1,0.9981,0.9795,0.5819,-0.8251,0.976,"{'neg': 0.059, 'neu': 0.797, 'pos': 0.143, 'compound': 0.9981}","{'neg': 0.065, 'neu': 0.845, 'pos': 0.09, 'compound': 0.9941}","{'neg': 0.081, 'neu': 0.824, 'pos': 0.096, 'compound': 0.5819}","{'neg': 0.097, 'neu': 0.821, 'pos': 0.082, 'compound': -0.8251}","{'neg': 0.06, 'neu': 0.807, 'pos': 0.133, 'compound': 0.9935}",0.059,0.065,0.081,0.097,0.06,0.143,0.09,0.096,0.082,0.133,0.9981,0.9941,0.5819,-0.8251,0.9935,20,563,0.035523978685612786,26,0.046181172291296625,199,162,78,76,48,8,6,6,1,5
Terminator Salvation,Terminator-Salvation,1,-0.9965,-0.9963,0.9841,0.8293,0.9888,"{'neg': 0.128, 'neu': 0.78, 'pos': 0.092, 'compound': -0.9965}","{'neg': 0.153, 'neu': 0.754, 'pos': 0.093, 'compound': -0.9963}","{'neg': 0.104, 'neu': 0.744, 'pos': 0.152, 'compound': 0.9841}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.128,0.153,0.104,0.0,0.0,0.092,0.093,0.152,0.0,0.0,-0.9965,-0.9963,0.9841,0.0,0.0,32,502,0.06374501992031872,17,0.03386454183266932,237,106,72,51,36,2,6,9,0,0
The Mummy,"Mummy,-The",1,-0.8884,-0.9957,0.994,0.9858,-0.9909,"{'neg': 0.144, 'neu': 0.705, 'pos': 0.151, 'compound': -0.9854}","{'neg': 0.139, 'neu': 0.744, 'pos': 0.117, 'compound': -0.9989}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.144,0.139,0.0,0.0,0.0,0.151,0.117,0.0,0.0,0.0,-0.9854,-0.9989,0.0,0.0,0.0,37,779,0.04749679075738126,17,0.021822849807445442,270,230,144,85,50,13,4,0,0,0
The Great Gatsby,"Great-Gatsby,-The",1,0.9996,0.9989,0.9989,0.9995,0.9869,"{'neg': 0.081, 'neu': 0.788, 'pos': 0.131, 'compound': 1.0}","{'neg': 0.107, 'neu': 0.752, 'pos': 0.14, 'compound': 0.9999}","{'neg': 0.062, 'neu': 0.8, 'pos': 0.139, 'compound': 0.9999}","{'neg': 0.07, 'neu': 0.715, 'pos': 0.215, 'compound': 1.0}","{'neg': 0.039, 'neu': 0.868, 'pos': 0.093, 'compound': 0.999}",0.081,0.107,0.062,0.07,0.039,0.131,0.14,0.139,0.215,0.093,1.0,0.9999,0.9999,1.0,0.999,39,1150,0.03391304347826087,190,0.16521739130434782,356,372,203,146,73,74,33,40,24,19
Thor: Ragnarok,Thor-Ragnarok,1,0.9993,0.9883,-0.9862,0.9581,0.999,"{'neg': 0.148, 'neu': 0.666, 'pos': 0.185, 'compound': 1.0}","{'neg': 0.126, 'neu': 0.707, 'pos': 0.166, 'compound': 0.9965}","{'neg': 0.144, 'neu': 0.743, 'pos': 0.113, 'compound': -0.9962}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.148,0.126,0.144,0.0,0.0,0.185,0.166,0.113,0.0,0.0,1.0,0.9965,-0.9962,0.0,0.0,33,1092,0.03021978021978022,39,0.03571428571428571,618,129,98,107,140,26,10,3,0,0
Up,Up,1,0.9994,0.9996,0.9956,0.9901,0.9896,"{'neg': 0.078, 'neu': 0.761, 'pos': 0.161, 'compound': 0.9999}","{'neg': 0.073, 'neu': 0.746, 'pos': 0.182, 'compound': 0.9999}","{'neg': 0.09, 'neu': 0.728, 'pos': 0.182, 'compound': 0.9988}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.035, 'neu': 0.812, 'pos': 0.154, 'compound': 0.9896}",0.078,0.073,0.09,0.0,0.035,0.161,0.182,0.182,0.0,0.154,0.9999,0.9999,0.9988,0.0,0.9896,22,935,0.023529411764705882,44,0.047058823529411764,365,321,106,78,65,36,5,2,0,1
Coco,Coco,1,0.9988,0.9987,0.9985,0.9187,0.9271,"{'neg': 0.122, 'neu': 0.725, 'pos': 0.153, 'compound': 0.9997}","{'neg': 0.12, 'neu': 0.713, 'pos': 0.168, 'compound': 0.9987}","{'neg': 0.085, 'neu': 0.721, 'pos': 0.194, 'compound': 0.9996}","{'neg': 0.128, 'neu': 0.733, 'pos': 0.139, 'compound': 0.9551}","{'neg': 0.083, 'neu': 0.818, 'pos': 0.099, 'compound': 0.9271}",0.122,0.12,0.085,0.128,0.083,0.153,0.168,0.194,0.139,0.099,0.9997,0.9987,0.9996,0.9551,0.9271,28,1023,0.02737047898338221,72,0.07038123167155426,434,289,120,87,93,20,10,15,16,11
G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,1,0.9742,0.9781,-0.9898,0.996,-0.9976,"{'neg': 0.086, 'neu': 0.819, 'pos': 0.095, 'compound': 0.9965}","{'neg': 0.097, 'neu': 0.796, 'pos': 0.107, 'compound': 0.9971}","{'neg': 0.1, 'neu': 0.818, 'pos': 0.082, 'compound': -0.9987}","{'neg': 0.107, 'neu': 0.751, 'pos': 0.142, 'compound': 0.9995}","{'neg': 0.103, 'neu': 0.826, 'pos': 0.071, 'compound': -0.9997}",0.086,0.097,0.1,0.107,0.103,0.095,0.107,0.082,0.142,0.071,0.9965,0.9971,-0.9987,0.9995,-0.9997,66,1346,0.04903417533432392,190,0.1411589895988113,379,323,234,213,197,46,51,43,14,36
Wild Wild West,Wild-Wild-West,1,0.9983,0.9986,0.9992,0.9815,0.8319,"{'neg': 0.109, 'neu': 0.749, 'pos': 0.143, 'compound': 0.9998}","{'neg': 0.099, 'neu': 0.766, 'pos': 0.135, 'compound': 0.9998}","{'neg': 0.112, 'neu': 0.702, 'pos': 0.185, 'compound': 0.9999}","{'neg': 0.116, 'neu': 0.727, 'pos': 0.157, 'compound': 0.9815}","{'neg': 0.078, 'neu': 0.821, 'pos': 0.101, 'compound': 0.9593}",0.109,0.099,0.112,0.116,0.078,0.143,0.135,0.185,0.157,0.101,0.9998,0.9998,0.9999,0.9815,0.9593,40,978,0.0408997955010225,82,0.08384458077709611,357,301,174,76,70,30,21,13,4,14
Snow White and the Huntsman,Snow-White-and-the-Huntsman,1,-0.9886,0.9988,-0.9984,-0.8231,0.8207,"{'neg': 0.121, 'neu': 0.767, 'pos': 0.112, 'compound': -0.9992}","{'neg': 0.088, 'neu': 0.791, 'pos': 0.122, 'compound': 0.9999}","{'neg': 0.126, 'neu': 0.782, 'pos': 0.092, 'compound': -0.9998}","{'neg': 0.122, 'neu': 0.759, 'pos': 0.118, 'compound': -0.9837}","{'neg': 0.113, 'neu': 0.769, 'pos': 0.118, 'compound': 0.9815}",0.121,0.088,0.126,0.122,0.113,0.112,0.122,0.092,0.118,0.118,-0.9992,0.9999,-0.9998,-0.9837,0.9815,54,1282,0.0421216848673947,130,0.10140405616224649,415,332,283,143,109,23,42,30,22,13
How to Train Your Dragon,How-to-Train-Your-Dragon,1,-1.0,-0.9988,-0.998,-0.9754,-0.6392,"{'neg': 0.178, 'neu': 0.724, 'pos': 0.098, 'compound': -1.0}","{'neg': 0.132, 'neu': 0.779, 'pos': 0.088, 'compound': -0.9999}","{'neg': 0.121, 'neu': 0.787, 'pos': 0.092, 'compound': -0.9999}","{'neg': 0.125, 'neu': 0.768, 'pos': 0.107, 'compound': -0.9983}","{'neg': 0.107, 'neu': 0.798, 'pos': 0.094, 'compound': -0.8589}",0.178,0.132,0.121,0.125,0.107,0.098,0.088,0.092,0.107,0.094,-1.0,-0.9999,-0.9999,-0.9983,-0.8589,49,1960,0.025,259,0.13214285714285715,958,381,331,221,69,71,66,63,48,11
Interstellar,Interstellar,1,0.998,0.9966,-0.9796,0.8882,0.9802,"{'neg': 0.074, 'neu': 0.821, 'pos': 0.106, 'compound': 0.9998}","{'neg': 0.08, 'neu': 0.811, 'pos': 0.11, 'compound': 0.9998}","{'neg': 0.098, 'neu': 0.827, 'pos': 0.075, 'compound': -0.9975}","{'neg': 0.072, 'neu': 0.833, 'pos': 0.095, 'compound': 0.9899}","{'neg': 0.069, 'neu': 0.841, 'pos': 0.09, 'compound': 0.9802}",0.074,0.08,0.098,0.072,0.069,0.106,0.11,0.075,0.095,0.09,0.9998,0.9998,-0.9975,0.9899,0.9802,72,1295,0.055598455598455596,56,0.043243243243243246,508,377,121,135,154,14,24,6,11,1
Beauty and the Beast,Beauty-and-the-Beast,1,0.9994,0.9998,-0.9685,0.9987,0.999,"{'neg': 0.092, 'neu': 0.715, 'pos': 0.194, 'compound': 0.9999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.143, 'neu': 0.741, 'pos': 0.117, 'compound': -0.9685}","{'neg': 0.131, 'neu': 0.663, 'pos': 0.206, 'compound': 0.9999}","{'neg': 0.075, 'neu': 0.709, 'pos': 0.216, 'compound': 0.9998}",0.092,0.0,0.143,0.131,0.075,0.194,0.0,0.117,0.206,0.216,0.9999,0.0,-0.9685,0.9999,0.9998,23,678,0.03392330383480826,51,0.0752212389380531,177,140,100,128,133,11,0,2,25,13
Shrek the Third,Shrek-the-Third,1,0.9992,0.9992,0.9955,0.9852,0.998,"{'neg': 0.065, 'neu': 0.791, 'pos': 0.144, 'compound': 0.9998}","{'neg': 0.052, 'neu': 0.755, 'pos': 0.193, 'compound': 0.9999}","{'neg': 0.094, 'neu': 0.762, 'pos': 0.144, 'compound': 0.9955}","{'neg': 0.114, 'neu': 0.741, 'pos': 0.145, 'compound': 0.9852}","{'neg': 0.023, 'neu': 0.792, 'pos': 0.185, 'compound': 0.998}",0.065,0.052,0.094,0.114,0.023,0.144,0.193,0.144,0.145,0.185,0.9998,0.9999,0.9955,0.9852,0.998,25,814,0.030712530712530713,83,0.10196560196560196,304,156,149,140,65,18,28,14,15,8
Inception,Inception,1,0.9992,-0.9789,0.9932,-0.9219,0.5787,"{'neg': 0.09, 'neu': 0.793, 'pos': 0.117, 'compound': 0.9999}","{'neg': 0.099, 'neu': 0.815, 'pos': 0.086, 'compound': -0.9984}","{'neg': 0.102, 'neu': 0.761, 'pos': 0.137, 'compound': 0.9995}","{'neg': 0.078, 'neu': 0.861, 'pos': 0.062, 'compound': -0.992}","{'neg': 0.116, 'neu': 0.758, 'pos': 0.127, 'compound': 0.7605}",0.09,0.099,0.102,0.078,0.116,0.117,0.086,0.137,0.062,0.127,0.9999,-0.9984,0.9995,-0.992,0.7605,50,1286,0.038880248833592534,98,0.07620528771384137,681,203,173,119,110,35,24,18,13,8
Godzilla,Godzilla,1,0.9994,0.9953,0.9922,-0.9923,-0.9162,"{'neg': 0.054, 'neu': 0.791, 'pos': 0.155, 'compound': 0.9998}","{'neg': 0.093, 'neu': 0.763, 'pos': 0.144, 'compound': 0.9988}","{'neg': 0.064, 'neu': 0.794, 'pos': 0.142, 'compound': 0.9922}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.087, 'neu': 0.86, 'pos': 0.054, 'compound': -0.9162}",0.054,0.093,0.064,0.0,0.087,0.155,0.144,0.142,0.0,0.054,0.9998,0.9988,0.9922,0.0,-0.9162,20,597,0.03350083752093802,19,0.031825795644891124,219,174,98,70,36,6,9,2,0,2
The Curious Case of Benjamin Button,"Curious-Case-of-Benjamin-Button,-The",1,0.9996,0.9999,0.9935,0.9954,0.9959,"{'neg': 0.058, 'neu': 0.798, 'pos': 0.144, 'compound': 0.9999}","{'neg': 0.047, 'neu': 0.79, 'pos': 0.163, 'compound': 1.0}","{'neg': 0.073, 'neu': 0.827, 'pos': 0.1, 'compound': 0.9984}","{'neg': 0.04, 'neu': 0.85, 'pos': 0.109, 'compound': 0.9954}","{'neg': 0.083, 'neu': 0.774, 'pos': 0.143, 'compound': 0.9959}",0.058,0.047,0.073,0.04,0.083,0.144,0.163,0.1,0.109,0.143,0.9999,1.0,0.9984,0.9954,0.9959,44,829,0.05307599517490953,45,0.054282267792521106,235,298,106,106,84,9,26,3,3,4
War for the Planet of the Apes,War-for-the-Planet-of-the-Apes,1,-0.9854,-0.9948,-0.9993,-0.9532,0.9195,"{'neg': 0.144, 'neu': 0.747, 'pos': 0.109, 'compound': -0.9854}","{'neg': 0.145, 'neu': 0.735, 'pos': 0.121, 'compound': -0.9948}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.1, 'neu': 0.849, 'pos': 0.051, 'compound': -0.9532}","{'neg': 0.092, 'neu': 0.781, 'pos': 0.127, 'compound': 0.9195}",0.144,0.145,0.0,0.1,0.092,0.109,0.121,0.0,0.051,0.127,-0.9854,-0.9948,0.0,-0.9532,0.9195,12,543,0.022099447513812154,9,0.016574585635359115,165,186,102,48,42,2,1,0,5,1
Frozen,Frozen,1,-0.9868,-0.9933,-0.9935,0.9622,0.3687,"{'neg': 0.147, 'neu': 0.708, 'pos': 0.145, 'compound': -0.9982}","{'neg': 0.142, 'neu': 0.718, 'pos': 0.14, 'compound': -0.9946}","{'neg': 0.143, 'neu': 0.728, 'pos': 0.129, 'compound': -0.9984}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.147,0.142,0.143,0.0,0.0,0.145,0.14,0.129,0.0,0.0,-0.9982,-0.9946,-0.9984,0.0,0.0,24,923,0.02600216684723727,51,0.0552546045503792,397,262,214,26,24,25,16,10,0,0
Zootopia,Zootopia,1,0.9993,0.9978,-0.9385,0.9882,0.9976,"{'neg': 0.113, 'neu': 0.727, 'pos': 0.16, 'compound': 0.9999}","{'neg': 0.113, 'neu': 0.736, 'pos': 0.151, 'compound': 0.9978}","{'neg': 0.124, 'neu': 0.773, 'pos': 0.103, 'compound': -0.978}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.095, 'neu': 0.684, 'pos': 0.22, 'compound': 0.9994}",0.113,0.113,0.124,0.0,0.095,0.16,0.151,0.103,0.0,0.22,0.9999,0.9978,-0.978,0.0,0.9994,31,1075,0.02883720930232558,40,0.037209302325581395,476,358,88,71,82,22,3,9,0,6
The Matrix Reloaded,"Matrix-Reloaded,-The",1,-0.9628,-0.9793,-0.9909,0.9508,-0.9631,"{'neg': 0.09, 'neu': 0.842, 'pos': 0.068, 'compound': -0.9952}","{'neg': 0.092, 'neu': 0.847, 'pos': 0.061, 'compound': -0.9941}","{'neg': 0.144, 'neu': 0.819, 'pos': 0.037, 'compound': -0.9909}","{'neg': 0.029, 'neu': 0.887, 'pos': 0.083, 'compound': 0.9859}","{'neg': 0.194, 'neu': 0.65, 'pos': 0.157, 'compound': -0.9897}",0.09,0.092,0.144,0.029,0.194,0.068,0.061,0.037,0.083,0.157,-0.9952,-0.9941,-0.9909,0.9859,-0.9897,8,380,0.021052631578947368,28,0.07368421052631578,115,105,58,58,44,9,8,1,7,3
Hancock,Hancock,1,0.998,-0.9974,0.9972,-0.9954,-0.9983,"{'neg': 0.067, 'neu': 0.825, 'pos': 0.108, 'compound': 0.9998}","{'neg': 0.118, 'neu': 0.782, 'pos': 0.1, 'compound': -0.9994}","{'neg': 0.074, 'neu': 0.804, 'pos': 0.123, 'compound': 0.9998}","{'neg': 0.114, 'neu': 0.824, 'pos': 0.063, 'compound': -0.9994}","{'neg': 0.14, 'neu': 0.811, 'pos': 0.048, 'compound': -0.9998}",0.067,0.118,0.074,0.114,0.14,0.108,0.1,0.123,0.063,0.048,0.9998,-0.9994,0.9998,-0.9994,-0.9998,35,1492,0.023458445040214475,227,0.15214477211796246,390,462,264,210,166,65,51,50,40,21
Thor,Thor,1,-0.9948,0.9992,-0.9993,-0.9929,-0.9951,"{'neg': 0.125, 'neu': 0.765, 'pos': 0.11, 'compound': -0.9996}","{'neg': 0.069, 'neu': 0.811, 'pos': 0.12, 'compound': 0.9992}","{'neg': 0.144, 'neu': 0.757, 'pos': 0.099, 'compound': -0.9999}","{'neg': 0.137, 'neu': 0.749, 'pos': 0.114, 'compound': -0.9993}","{'neg': 0.139, 'neu': 0.751, 'pos': 0.11, 'compound': -0.9994}",0.125,0.069,0.144,0.137,0.139,0.11,0.12,0.099,0.114,0.11,-0.9996,0.9992,-0.9999,-0.9993,-0.9994,61,1537,0.039687703318152245,212,0.13793103448275862,474,348,340,187,188,54,26,77,23,32
X-Men Origins: Wolverine,X-Men-Origins-Wolverine,1,-0.9423,0.988,-0.9887,-0.9481,-0.994,"{'neg': 0.101, 'neu': 0.802, 'pos': 0.096, 'compound': -0.9903}","{'neg': 0.113, 'neu': 0.756, 'pos': 0.131, 'compound': 0.9985}","{'neg': 0.109, 'neu': 0.795, 'pos': 0.096, 'compound': -0.9986}","{'neg': 0.12, 'neu': 0.767, 'pos': 0.113, 'compound': -0.991}","{'neg': 0.12, 'neu': 0.794, 'pos': 0.087, 'compound': -0.9993}",0.101,0.113,0.109,0.12,0.12,0.096,0.131,0.096,0.113,0.087,-0.9903,0.9985,-0.9986,-0.991,-0.9993,35,1148,0.03048780487804878,179,0.1559233449477352,383,285,228,102,150,34,49,46,20,30
Angels & Demons,Angels-&-Demons,1,-0.9958,-0.9912,-0.9856,0.8383,-0.4165,"{'neg': 0.098, 'neu': 0.815, 'pos': 0.086, 'compound': -0.9995}","{'neg': 0.096, 'neu': 0.842, 'pos': 0.062, 'compound': -0.9989}","{'neg': 0.125, 'neu': 0.762, 'pos': 0.113, 'compound': -0.9981}","{'neg': 0.09, 'neu': 0.809, 'pos': 0.101, 'compound': 0.9298}","{'neg': 0.102, 'neu': 0.786, 'pos': 0.112, 'compound': 0.3252}",0.098,0.096,0.125,0.09,0.102,0.086,0.062,0.113,0.101,0.112,-0.9995,-0.9989,-0.9981,0.9298,0.3252,52,841,0.06183115338882283,22,0.026159334126040427,385,150,143,100,63,7,3,6,3,3
How to Train Your Dragon 2,How-to-Train-Your-Dragon-2,1,0.9956,-0.9275,0.9958,0.9381,0.9965,"{'neg': 0.133, 'neu': 0.713, 'pos': 0.154, 'compound': 0.9956}","{'neg': 0.087, 'neu': 0.828, 'pos': 0.085, 'compound': -0.9878}","{'neg': 0.127, 'neu': 0.692, 'pos': 0.181, 'compound': 0.9989}","{'neg': 0.043, 'neu': 0.883, 'pos': 0.074, 'compound': 0.99}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.133,0.087,0.127,0.043,0.0,0.154,0.085,0.181,0.074,0.0,0.9956,-0.9878,0.9989,0.99,0.0,23,823,0.027946537059538274,37,0.04495747266099635,395,121,132,90,85,2,14,13,8,0
Rise of the Guardians,Rise-of-the-Guardians,1,0.9994,0.9996,0.9989,0.9983,0.9982,"{'neg': 0.083, 'neu': 0.753, 'pos': 0.164, 'compound': 0.9999}","{'neg': 0.058, 'neu': 0.751, 'pos': 0.191, 'compound': 1.0}","{'neg': 0.07, 'neu': 0.763, 'pos': 0.167, 'compound': 0.9999}","{'neg': 0.112, 'neu': 0.706, 'pos': 0.182, 'compound': 0.9998}","{'neg': 0.049, 'neu': 0.797, 'pos': 0.153, 'compound': 0.9998}",0.083,0.058,0.07,0.112,0.049,0.164,0.191,0.167,0.182,0.153,0.9999,1.0,0.9999,0.9998,0.9998,23,1200,0.019166666666666665,93,0.0775,343,289,208,218,142,18,28,12,16,19
Star Trek,Star-Trek,1,-0.988,0.9834,0.9973,0.9975,-0.9957,"{'neg': 0.138, 'neu': 0.732, 'pos': 0.13, 'compound': -0.9966}","{'neg': 0.094, 'neu': 0.785, 'pos': 0.121, 'compound': 0.9954}","{'neg': 0.061, 'neu': 0.812, 'pos': 0.127, 'compound': 0.9993}","{'neg': 0.068, 'neu': 0.78, 'pos': 0.153, 'compound': 0.9993}","{'neg': 0.163, 'neu': 0.757, 'pos': 0.08, 'compound': -0.9957}",0.138,0.094,0.061,0.068,0.163,0.13,0.121,0.127,0.153,0.08,-0.9966,0.9954,0.9993,0.9993,-0.9957,41,720,0.05694444444444444,36,0.05,275,154,118,107,66,16,9,3,7,1
