,Processed Title,Success,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,n_curse_words_char_1,n_curse_words_char_2,n_curse_words_char_3,n_curse_words_char_4,n_curse_words_char_5,n_mentions_others_char_1,n_mentions_others_char_2,n_mentions_others_char_3,n_mentions_others_char_4,n_mentions_others_char_5,main_char_rel_diag_length,stdvs_unique_words_above_mean
Angels & Demons,Angels-&-Demons,1,4,4,4,5,5,154,100,106,98,93,0,0,0,0,0,7,3,7,3,3,43.61139285616382,0.2538140152518922
How to Train Your Dragon 2,How-to-Train-Your-Dragon-2,1,1,2,2,1,1,133,99,109,88,95,0,0,0,0,0,45,34,26,20,20,46.71033893477642,-0.8377170899910004
Rise of the Guardians,Rise-of-the-Guardians,1,1,1,1,2,2,116,115,109,130,90,0,0,0,2,0,39,54,15,21,27,28.786045276113448,-0.3016973508092228
Star Trek,Star-Trek,1,3,7,5,5,3,129,111,103,94,93,5,0,0,1,1,30,24,13,14,2,31.99878123095673,0.04103042181912591
The Last Samurai,"Last-Samurai,-The",1,3,3,6,5,4,168,133,118,117,94,6,0,0,1,1,23,24,35,15,9,40.22896485469538,0.4519788885251554
Spider-Man,Spider-Man,1,2,4,1,2,3,107,134,98,72,90,0,6,1,1,0,49,29,57,12,10,23.80018216212429,-0.7548776757538166
Watchmen,Watchmen,1,3,2,3,5,3,157,151,137,132,116,2,10,3,0,3,114,61,56,41,14,29.83095615425251,1.9560827627140223
The Croods,"Croods,-The",1,0,0,1,0,0,124,110,106,93,77,0,0,0,0,0,61,14,14,4,38,36.10475266731329,-0.9530425490270799
The Revenant,"Revenant,-The",1,2,1,1,0,1,116,113,93,64,45,14,1,0,1,8,17,11,31,4,1,39.89585524931622,-1.2145552096581895
Miami Vice,Miami-Vice,1,2,3,3,2,3,153,122,129,101,77,10,3,2,2,4,21,10,4,4,4,37.820346880662704,0.4016255190868672
War of the Worlds,War-of-the-Worlds,1,1,1,1,2,4,143,81,88,90,52,4,0,1,2,0,67,17,11,12,20,52.952297208177605,-1.3428750866138273
The Bourne Ultimatum,"Bourne-Ultimatum,-The",1,2,1,2,3,2,118,96,98,56,75,2,0,0,0,0,41,0,23,15,2,39.08759685944476,-1.2714057880562568
Kung Fu Panda,Kung-Fu-Panda,1,1,2,2,2,1,124,119,78,67,55,1,1,1,0,0,25,43,10,4,10,43.187900930370866,-1.2811516014959254
Megamind,Megamind,1,3,3,2,1,3,155,120,111,91,82,6,7,5,4,0,40,13,6,3,0,43.563642655285776,-0.04018469017811312
Logan,Logan,1,0,2,2,2,2,141,118,106,95,83,35,8,8,2,1,26,38,9,5,6,40.029599626109984,-0.7467561645540927
Clash of the Titans,Clash-of-the-Titans,1,3,5,3,4,4,157,129,108,103,101,0,0,0,1,1,57,73,29,21,24,35.28024758068478,1.0870810643435647
Prometheus,Prometheus,1,2,3,4,2,3,120,115,105,86,71,0,0,2,1,0,22,9,20,13,11,26.75397199937077,-0.5209781532017682
Total Recall,Total-Recall,1,3,2,2,1,4,142,88,74,77,62,2,4,0,1,1,15,9,2,4,5,55.17887909192257,-1.329880668694269
Life of Pi,Life-of-Pi,1,3,5,3,3,3,132,142,65,76,59,1,0,0,0,0,8,21,5,2,2,32.11856579057856,-0.8750760415097304
Ghost Rider,Ghost-Rider,1,2,2,3,3,3,139,123,99,80,78,13,5,16,0,0,44,45,18,16,18,40.04782014656564,0.14336146293564708
Oblivion,Oblivion,1,3,3,2,3,5,181,148,114,125,41,1,2,0,0,0,50,87,31,39,4,49.31471558120363,1.4947809265697045
Fantastic Four,Fantastic-Four,1,4,1,1,2,1,134,122,113,124,106,0,0,0,0,1,66,67,17,47,19,27.75756927356371,0.12874274277614406
Speed Racer,Speed-Racer,0,2,4,2,2,2,141,145,126,93,107,2,0,3,2,1,75,42,56,42,35,32.136365557763035,1.2560084972978218
The Island,"Island,-The",1,1,4,3,5,2,125,135,105,111,101,1,0,2,1,0,22,10,1,5,2,26.83033120278907,-0.40727699640563353
Ocean's Twelve,Ocean's-Twelve,1,2,2,3,3,2,120,117,127,105,94,0,2,0,0,0,16,13,3,3,8,21.542648427988254,-0.33905630232795275
Tomorrow Never Dies,Tomorrow-Never-Dies,1,2,4,1,2,7,146,143,96,58,71,0,1,1,0,1,45,50,8,0,6,35.973776013472865,0.05727344421857372
The Patriot,"Patriot,-The",1,3,3,6,4,2,153,108,105,96,57,0,0,0,1,0,91,18,4,17,2,51.50551314673452,-0.23347665673154203
Ali,Ali,0,2,2,2,4,4,141,87,86,85,95,6,6,0,2,0,46,8,2,16,3,58.87280190824874,-0.05967631705745049
The Martian,"Martian,-The",1,3,4,3,4,3,105,134,118,114,71,0,9,0,1,0,44,25,24,45,6,17.37991723848934,0.5104537691631675
"I, Robot","I,-Robot",1,3,4,1,8,4,151,128,72,71,81,2,0,1,0,0,80,61,9,19,9,47.3906526774765,-0.6736625637565775
Gone in 60 Seconds,Gone-in-60-Seconds,1,2,2,2,2,3,150,110,105,102,110,7,10,3,7,2,50,24,6,13,12,41.333030027297546,0.17584750773454272
Gladiator,Gladiator,1,2,4,2,2,3,119,138,107,117,99,1,1,0,4,0,12,25,18,5,8,19.860783317898008,-0.22373084329187334
Public Enemies,Public-Enemies,1,2,3,2,5,3,150,120,126,96,88,4,0,0,0,0,43,48,16,22,19,45.55472783785866,0.6468951573185291
Django Unchained,Django-Unchained,1,3,4,3,3,3,189,162,133,109,84,37,63,44,15,1,84,101,30,18,17,45.660829314084104,3.0378680545172463
True Lies,True-Lies,1,2,1,2,2,3,128,121,112,120,99,9,8,12,5,1,24,32,49,5,9,33.03841387856258,0.33827773172902076
American Gangster,American-Gangster,1,1,2,2,3,3,143,142,74,70,91,24,22,6,3,1,25,20,3,8,11,41.15295331441836,-0.6687896570367432
The Wolf of Wall Street,"Wolf-of-Wall-Street,-The",1,4,2,2,3,3,177,102,98,73,64,113,30,15,1,8,46,4,5,2,2,78.74661794160019,0.8970377022700253
The Tourist,"Tourist,-The",1,2,2,4,2,3,119,108,115,69,70,2,2,1,0,1,6,18,20,2,2,29.612466494025718,-0.9530425490270799
Starship Troopers,Starship-Troopers,1,2,2,4,3,8,135,114,95,87,60,3,0,4,0,0,39,40,6,6,0,40.574946018241,-0.26433839929049285
