,Processed Title,Release Date,Year,imdb_id,has_synopsis,has_plot,new_title
A Few Good Men,A-Few-Good-Men,"Dec 11, 1992",1992,6111282,NO,NO,A-Few-Good-Men
Big Momma's House,Big-Momma's-House,"Jun 2, 2000",2000,0306603,NO,NO,Big-Momma's-House
Exit Wounds,Exit-Wounds,"Mar 16, 2001",2001,1143395,NO,NO,Exit-Wounds
Mike and Dave Need Wedding Dates,Mike-and-Dave-Need-Wedding-Dates,"Jul 8, 2016",2016,9613266,NO,NO,Mike-and-Dave-Need-Wedding-Dates
Step Up Revolution,Step-Up-Revolution,"Jul 27, 2012",2012,2343592,NO,YES,Step-Up-Revolution
Snakes on a Plane,Snakes-on-a-Plane,"Aug 18, 2006",2006,0934953,NO,NO,Snakes-on-a-Plane
The Punisher,"Punisher,-The","Apr 16, 2004",2004,0944069,NO,YES,"Punisher,-The"
The Watcher,"Watcher,-The","Sep 8, 2000",2000,0168509,NO,NO,"Watcher,-The"
Safe,Safe,"Apr 27, 2012",2012,1599348,YES,YES,Safe
Doomsday,Doomsday,"Mar 14, 2008",2008,1132130,YES,YES,Doomsday
Pushing Tin,Pushing-Tin,"Apr 23, 1999",1999,0701639,NO,NO,Pushing-Tin
Goal! The Dream Begins,Goal!-The-Dream-Begins,"May 12, 2006",2006,7353798,NO,NO,Goal!-The-Dream-Begins
The Young and Prodigious T.S. Spivet,"Young-and-Prodigious-T.S.-Spivet,-The","Jul 31, 2015",2015,NO ID FOUND,NO,NO,"Young-and-Prodigious-T.S.-Spivet,-The"
Freaks of Nature,Freaks-of-Nature,"Oct 30, 2015",2015,5182056,NO,NO,Freaks-of-Nature
Star Wars Ep. VI: Return of the Jedi,Star-Wars-Ep.-VI-Return-of-the-Jedi,"May 25, 1983",1983,0086190,YES,YES,Star-Wars-Ep.-VI-Return-of-the-Jedi
Bridesmaids,Bridesmaids,"May 13, 2011",2011,7176614,NO,NO,Bridesmaids
The Reader,"Reader,-The","Dec 10, 2008",2008,1003014,NO,YES,"Reader,-The"
The Big Wedding,"Big-Wedding,-The","Apr 26, 2013",2013,3116302,NO,NO,"Big-Wedding,-The"
Wanderlust,Wanderlust,"Feb 24, 2012",2012,2983048,NO,NO,Wanderlust
Elf,Elf,"Nov 7, 2003",2003,0358422,NO,NO,Elf
Phenomenon,Phenomenon,"Jul 5, 1996",1996,0176168,NO,YES,Phenomenon
This is the End,This-is-the-End,"Jun 12, 2013",2013,3142240,NO,YES,This-is-the-End
Snow Dogs,Snow-Dogs,"Jan 18, 2002",2002,0953019,NO,YES,Snow-Dogs
Nacho Libre,Nacho-Libre,"Jun 16, 2006",2006,7217824,NO,NO,Nacho-Libre
Scrooged,Scrooged,"Nov 23, 1988",1988,1594837,NO,NO,Scrooged
Takers,Takers,"Aug 27, 2010",2010,1802747,NO,YES,Takers
Source Code,Source-Code,"Apr 1, 2011",2011,2135285,NO,NO,Source-Code
Stigmata,Stigmata,"Sep 10, 1999",1999,0367880,NO,NO,Stigmata
Men of Honor,Men-of-Honor,"Nov 10, 2000",2000,1077658,NO,NO,Men-of-Honor
I Feel Pretty,I-Feel-Pretty,"Apr 20, 2018",2018,8586890,NO,NO,I-Feel-Pretty
The Transporter 2,"Transporter-2,-The","Sep 2, 2005",2005,0388482,YES,YES,"Transporter-2,-The"
"Big Mommas: Like Father, Like Son","Big-Mommas-Like-Father,-Like-Son","Feb 18, 2011",2011,1848819,NO,NO,"Big-Mommas-Like-Father,-Like-Son"
Alive,Alive,"Jan 15, 1993",1993,0352442,NO,YES,Alive
The Number 23,"Number-23,-The","Feb 23, 2007",2007,5343494,NO,YES,"Number-23,-The"
1941,1941,"Dec 14, 1979",1979,0078723,YES,YES,1941
Dreamer: Inspired by a True Story,Dreamer-Inspired-by-a-True-Story,"Oct 21, 2005",2005,0418647,YES,YES,Dreamer-Inspired-by-a-True-Story
A History of Violence,A-History-of-Violence,"Sep 23, 2005",2005,7353676,NO,NO,A-History-of-Violence
The Incredible Burt Wonderstone,"Incredible-Burt-Wonderstone,-The","Mar 15, 2013",2013,3116284,NO,NO,"Incredible-Burt-Wonderstone,-The"
The Quick and the Dead,"Quick-and-the-Dead,-The","Feb 10, 1995",1995,0114214,YES,YES,"Quick-and-the-Dead,-The"
Laws of Attraction,Laws-of-Attraction,"Apr 30, 2004",2004,2135120,NO,NO,Laws-of-Attraction
Bad Times at the El Royale,Bad-Times-at-the-El-Royale,"Oct 12, 2018",2018,9292454,NO,YES,Bad-Times-at-the-El-Royale
Going the Distance,Going-the-Distance,"Sep 3, 2010",2010,3022354,NO,NO,Going-the-Distance
Bringing Out The Dead,Bringing-Out-The-Dead,"Oct 22, 1999",1999,3517762,NO,YES,Bringing-Out-The-Dead
Repo Men,Repo-Men,"Mar 19, 2010",2010,1632332,NO,NO,Repo-Men
Dragon Wars: D-War,Dragon-Wars-D-War,"Sep 14, 2007",2007,0372873,YES,YES,Dragon-Wars-D-War
Bogus,Bogus,"Sep 6, 1996",1996,0656413,NO,YES,Bogus
Cats Don't Dance,Cats-Don't-Dance,"Mar 26, 1997",1997,6173260,NO,NO,Cats-Don't-Dance
Cradle Will Rock,Cradle-Will-Rock,"Dec 8, 1999",1999,0701668,NO,NO,Cradle-Will-Rock
The Good German,"Good-German,-The","Dec 15, 2006",2006,0980298,NO,NO,"Good-German,-The"
George and the Dragon,George-and-the-Dragon,"Dec 31, 2004",2004,0411334,NO,NO,George-and-the-Dragon
Apocalypse Now,Apocalypse-Now,"Aug 15, 1979",1979,0078788,YES,YES,Apocalypse-Now
Criminal,Criminal,"Apr 15, 2016",2016,2401256,NO,YES,Criminal
42,42,"Apr 12, 2013",2013,6752458,NO,NO,42
Flight,Flight,"Nov 2, 2012",2012,2623032,NO,NO,Flight
Mr. Holland's Opus,Mr.-Holland's-Opus,"Dec 29, 1995",1995,6149532,NO,NO,Mr.-Holland's-Opus
Out of Africa,Out-of-Africa,"Dec 18, 1985",1985,0089755,YES,YES,Out-of-Africa
Moonraker,Moonraker,"Jun 29, 1979",1979,3438050,NO,NO,Moonraker
The Grand Budapest Hotel,"Grand-Budapest-Hotel,-The","Mar 7, 2014",2014,6375778,NO,NO,"Grand-Budapest-Hotel,-The"
Vacation,Vacation,"Jul 29, 2015",2015,4612084,NO,NO,Vacation
Arachnophobia,Arachnophobia,"Jul 18, 1990",1990,0271826,NO,YES,Arachnophobia
Isn't it Romantic,Isn't-it-Romantic,"Feb 13, 2019",2019,9788916,NO,NO,Isn't-it-Romantic
Frequency,Frequency,"Apr 28, 2000",2000,0308855,NO,NO,Frequency
Hearts in Atlantis,Hearts-in-Atlantis,"Sep 28, 2001",2001,0252501,NO,YES,Hearts-in-Atlantis
Extraordinary Measures,Extraordinary-Measures,"Jan 22, 2010",2010,8681372,NO,YES,Extraordinary-Measures
Birth of the Dragon,Birth-of-the-Dragon,"Aug 25, 2017",2017,7316790,NO,NO,Birth-of-the-Dragon
Get Shorty,Get-Shorty,"Oct 20, 1995",1995,6149044,NO,YES,Get-Shorty
Toy Story,Toy-Story,"Nov 22, 1995",1995,0245255,NO,YES,Toy-Story
Crazy Rich Asians,Crazy-Rich-Asians,"Aug 15, 2018",2018,8884576,NO,YES,Crazy-Rich-Asians
Chicago,Chicago,"Dec 27, 2002",2002,0403682,NO,NO,Chicago
Big Daddy,Big-Daddy,"Jun 25, 1999",1999,0297271,NO,YES,Big-Daddy
American Pie 2,American-Pie-2,"Aug 10, 2001",2001,0934960,NO,NO,American-Pie-2
The Vow,"Vow,-The","Feb 10, 2012",2012,2505330,NO,YES,"Vow,-The"
Speed,Speed,"Jun 10, 1994",1994,0110500,NO,YES,Speed
The Hunt for Red October,"Hunt-for-Red-October,-The","Mar 2, 1990",1990,1939362,NO,YES,"Hunt-for-Red-October,-The"
Lee Daniels' The Butler,Lee-Daniels'-The-Butler,"Aug 16, 2013",2013,6477324,NO,NO,Lee-Daniels'-The-Butler
Remember the Titans,Remember-the-Titans,"Sep 29, 2000",2000,0210945,YES,YES,Remember-the-Titans
District 9,District-9,"Aug 14, 2009",2009,3013398,NO,NO,District-9
Dodgeball: A True Underdog Story,Dodgeball-A-True-Underdog-Story,"Jun 18, 2004",2004,0417085,NO,NO,Dodgeball-A-True-Underdog-Story
The Addams Family,"Addams-Family,-The","Nov 22, 1991",1991,10047786,NO,NO,"Addams-Family,-The"
Ace Ventura: When Nature Calls,Ace-Ventura-When-Nature-Calls,"Nov 10, 1995",1995,6149498,NO,NO,Ace-Ventura-When-Nature-Calls
The Princess Diaries,"Princess-Diaries,-The","Aug 3, 2001",2001,0651756,NO,NO,"Princess-Diaries,-The"
Analyze This,Analyze-This,"Mar 5, 1999",1999,0701633,NO,NO,Analyze-This
The First Wives Club,"First-Wives-Club,-The","Sep 20, 1996",1996,6151866,NO,NO,"First-Wives-Club,-The"
Million Dollar Baby,Million-Dollar-Baby,"Dec 15, 2004",2004,0405159,YES,YES,Million-Dollar-Baby
Se7en,Se7en,"Sep 22, 1995",1995,6148958,NO,NO,Se7en
Mystic River,Mystic-River,"Oct 8, 2003",2003,1294516,NO,NO,Mystic-River
Sisters,Sisters,"Dec 18, 2015",2015,7103606,NO,YES,Sisters
Pokemon: The First Movie,Pokemon-The-First-Movie,"Nov 10, 1999",1999,0701664,NO,NO,Pokemon-The-First-Movie
SpongeBob SquarePants: The Movie,SpongeBob-SquarePants-The-Movie,"Nov 19, 2004",2004,0345950,YES,YES,SpongeBob-SquarePants-The-Movie
Up in the Air,Up-in-the-Air,"Dec 4, 2009",2009,1715583,NO,NO,Up-in-the-Air
The Notebook,"Notebook,-The","Jun 25, 2004",2004,0923287,NO,NO,"Notebook,-The"
Hannah Montana the Movie,Hannah-Montana-the-Movie,"Apr 10, 2009",2009,1114677,YES,YES,Hannah-Montana-the-Movie
27 Dresses,27-Dresses,"Jan 18, 2008",2008,1204215,NO,NO,27-Dresses
Rugrats in Paris,Rugrats-in-Paris,"Nov 17, 2000",2000,0213203,NO,YES,Rugrats-in-Paris
The Hitman's Bodyguard,"Hitman's-Bodyguard,-The","Aug 18, 2017",2017,8706598,NO,YES,"Hitman's-Bodyguard,-The"
The Prince of Tides,"Prince-of-Tides,-The","Dec 25, 1991",1991,6101720,NO,NO,"Prince-of-Tides,-The"
Four Brothers,Four-Brothers,"Aug 12, 2005",2005,1054592,NO,YES,Four-Brothers
Legends of the Fall,Legends-of-the-Fall,"Dec 23, 1994",1994,6144100,NO,NO,Legends-of-the-Fall
Looper,Looper,"Sep 28, 2012",2012,5969342,NO,NO,Looper
