,Processed Title,Release Date,Year,imdb_id,has_synopsis,has_plot,new_title
Monsters vs. Aliens,Monsters-vs.-Aliens,"Mar 27, 2009",2009,1482967,YES,YES,Monsters-vs.-Aliens
Cars 3,Cars-3,"Jun 16, 2017",2017,7084926,NO,YES,Cars-3
G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,"Aug 7, 2009",2009,1489463,NO,NO,G.I.-Joe-The-Rise-of-Cobra
Wild Wild West,Wild-Wild-West,"Jun 30, 1999",1999,6720788,NO,NO,Wild-Wild-West
The Mummy: Tomb of the Dragon Emperor,"Mummy-Tomb-of-the-Dragon-Emperor,-The","Aug 1, 2008",2008,1311141,NO,NO,"Mummy-Tomb-of-the-Dragon-Emperor,-The"
Evan Almighty,Evan-Almighty,"Jun 22, 2007",2007,1121939,NO,NO,Evan-Almighty
Waterworld,Waterworld,"Jul 28, 1995",1995,2670548,NO,NO,Waterworld
King Arthur: Legend of the Sword,King-Arthur-Legend-of-the-Sword,"May 12, 2017",2017,7049012,NO,NO,King-Arthur-Legend-of-the-Sword
47 Ronin,47-Ronin,"Dec 25, 2013",2013,2745334,NO,NO,47-Ronin
Singularity,Singularity,"Dec 31, 2020",2020,NO ID FOUND,NO,NO,Singularity
Jurassic World: Fallen Kingdom,Jurassic-World-Fallen-Kingdom,"Jun 22, 2018",2018,9455824,NO,YES,Jurassic-World-Fallen-Kingdom
Guardians of the Galaxy,Guardians-of-the-Galaxy,"Aug 1, 2014",2014,4266858,NO,NO,Guardians-of-the-Galaxy
Iron Man 2,Iron-Man-2,"May 7, 2010",2010,5466810,NO,NO,Iron-Man-2
Captain America: The Winter Soldier,Captain-America-The-Winter-Soldier,"Apr 4, 2014",2014,9715376,NO,NO,Captain-America-The-Winter-Soldier
Dawn of the Planet of the Apes,Dawn-of-the-Planet-of-the-Apes,"Jul 11, 2014",2014,5244628,NO,YES,Dawn-of-the-Planet-of-the-Apes
The Polar Express,"Polar-Express,-The","Nov 10, 2004",2004,7345402,NO,NO,"Polar-Express,-The"
Snow White and the Huntsman,Snow-White-and-the-Huntsman,"Jun 1, 2012",2012,2572402,NO,YES,Snow-White-and-the-Huntsman
Terminator 3: Rise of the Machines,Terminator-3-Rise-of-the-Machines,"Jul 1, 2003",2003,0391240,NO,NO,Terminator-3-Rise-of-the-Machines
Van Helsing,Van-Helsing,"May 7, 2004",2004,0406310,NO,YES,Van-Helsing
Tomorrowland,Tomorrowland,"May 22, 2015",2015,3098856,NO,YES,Tomorrowland
Alice Through the Looking Glass,Alice-Through-the-Looking-Glass,"May 27, 2016",2016,5761172,NO,NO,Alice-Through-the-Looking-Glass
Shrek Forever After,Shrek-Forever-After,"May 21, 2010",2010,1640561,NO,YES,Shrek-Forever-After
Doctor Strange,Doctor-Strange,"Nov 4, 2016",2016,6087702,NO,NO,Doctor-Strange
Big Hero 6,Big-Hero-6,"Nov 7, 2014",2014,4288366,NO,NO,Big-Hero-6
How to Train Your Dragon,How-to-Train-Your-Dragon,"Mar 26, 2010",2010,1621265,NO,NO,How-to-Train-Your-Dragon
Wreck-It Ralph,Wreck-It-Ralph,"Nov 2, 2012",2012,7072796,NO,NO,Wreck-It-Ralph
Interstellar,Interstellar,"Nov 5, 2014",2014,4288316,NO,YES,Interstellar
Independence Day: Resurgence,Independence-Day-Resurgence,"Jun 24, 2016",2016,7048116,NO,NO,Independence-Day-Resurgence
Cowboys and Aliens,Cowboys-and-Aliens,"Jul 29, 2011",2011,0409847,YES,YES,Cowboys-and-Aliens
Beauty and the Beast,Beauty-and-the-Beast,"Mar 17, 2017",2017,7013002,NO,NO,Beauty-and-the-Beast
Aquaman,Aquaman,"Dec 21, 2018",2018,9464636,NO,NO,Aquaman
Shrek the Third,Shrek-the-Third,"May 17, 2007",2007,1087816,YES,NO,Shrek-the-Third
Inception,Inception,"Jul 16, 2010",2010,5295894,NO,YES,Inception
The Hunger Games: Mockingjay - Part 2,"Hunger-Games-Mockingjay---Part-2,-The","Nov 20, 2015",2015,5217958,NO,YES,"Hunger-Games-Mockingjay---Part-2,-The"
Fast and Furious 6,Fast-and-Furious-6,"May 24, 2013",2013,4106374,NO,YES,Fast-and-Furious-6
Godzilla,Godzilla,"May 16, 2014",2014,4025708,NO,NO,Godzilla
X-Men: First Class,X-Men-First-Class,"Jun 3, 2011",2011,5969530,NO,NO,X-Men-First-Class
The Curious Case of Benjamin Button,"Curious-Case-of-Benjamin-Button,-The","Dec 25, 2008",2008,3011584,NO,NO,"Curious-Case-of-Benjamin-Button,-The"
The Sorcerer's Apprentice,"Sorcerer's-Apprentice,-The","Jul 14, 2010",2010,3022222,NO,NO,"Sorcerer's-Apprentice,-The"
Poseidon,Poseidon,"May 12, 2006",2006,0884742,NO,YES,Poseidon
Warcraft,Warcraft,"Jun 10, 2016",2016,0803096,YES,YES,Warcraft
Deepwater Horizon,Deepwater-Horizon,"Sep 30, 2016",2016,4852332,NO,YES,Deepwater-Horizon
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader,-The","Dec 10, 2010",2010,1792813,NO,NO,"Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader,-The"
Terminator: Genisys,Terminator-Genisys,"Jul 1, 2015",2015,1340138,YES,YES,Terminator-Genisys
Pacific Rim: Uprising,Pacific-Rim-Uprising,"Mar 23, 2018",2018,8838966,NO,NO,Pacific-Rim-Uprising
Alexander,Alexander,"Nov 24, 2004",2004,0373274,NO,YES,Alexander
Captain Marvel,Captain-Marvel,"Mar 8, 2019",2019,9909468,NO,NO,Captain-Marvel
War for the Planet of the Apes,War-for-the-Planet-of-the-Apes,"Jul 14, 2017",2017,8514726,NO,YES,War-for-the-Planet-of-the-Apes
Pearl Harbor,Pearl-Harbor,"May 25, 2001",2001,2066515,NO,NO,Pearl-Harbor
Transformers,Transformers,"Jul 2, 2007",2007,1140790,NO,NO,Transformers
Wonder Woman,Wonder-Woman,"Jun 2, 2017",2017,9494506,NO,YES,Wonder-Woman
Frozen,Frozen,"Nov 22, 2013",2013,2005374,YES,YES,Frozen
Zootopia,Zootopia,"Mar 4, 2016",2016,5635974,NO,YES,Zootopia
Harry Potter and the Order of the Phoenix,Harry-Potter-and-the-Order-of-the-Phoenix,"Jul 11, 2007",2007,1068770,NO,NO,Harry-Potter-and-the-Order-of-the-Phoenix
Harry Potter and the Goblet of Fire,Harry-Potter-and-the-Goblet-of-Fire,"Nov 18, 2005",2005,0491721,NO,NO,Harry-Potter-and-the-Goblet-of-Fire
The Matrix Reloaded,"Matrix-Reloaded,-The","May 15, 2003",2003,5319604,NO,YES,"Matrix-Reloaded,-The"
I am Legend,I-am-Legend,"Dec 14, 2007",2007,1168640,NO,YES,I-am-Legend
Moana,Moana,"Nov 23, 2016",2016,7677638,NO,NO,Moana
Hancock,Hancock,"Jul 1, 2008",2008,1202176,YES,YES,Hancock
Charlie and the Chocolate Factory,Charlie-and-the-Chocolate-Factory,"Jul 15, 2005",2005,1018695,NO,NO,Charlie-and-the-Chocolate-Factory
Ratatouille,Ratatouille,"Jun 29, 2007",2007,1055299,NO,NO,Ratatouille
Thor: The Dark World,Thor-The-Dark-World,"Nov 8, 2013",2013,3313706,NO,NO,Thor-The-Dark-World
Batman Begins,Batman-Begins,"Jun 15, 2005",2005,6010270,NO,YES,Batman-Begins
Mission: ImpossibleâRogue Nation,Mission-ImpossibleâRogue-Nation,"Jul 31, 2015",2015,2381249,YES,YES,Mission-ImpossibleâRogue-Nation
Dunkirk,Dunkirk,"Jul 21, 2017",2017,6836772,NO,YES,Dunkirk
Thor,Thor,"May 6, 2011",2011,1951316,NO,YES,Thor
Madagascar: Escape 2 Africa,Madagascar-Escape-2-Africa,"Nov 7, 2008",2008,1657660,NO,NO,Madagascar-Escape-2-Africa
X-Men Origins: Wolverine,X-Men-Origins-Wolverine,"May 1, 2009",2009,3012064,NO,NO,X-Men-Origins-Wolverine
Night at the Museum: Battle of the Smithsonian,Night-at-the-Museum-Battle-of-the-Smithsonian,"May 22, 2009",2009,3012002,NO,NO,Night-at-the-Museum-Battle-of-the-Smithsonian
Kung Fu Panda 2,Kung-Fu-Panda-2,"May 26, 2011",2011,1953497,NO,NO,Kung-Fu-Panda-2
Mad Max: Fury Road,Mad-Max-Fury-Road,"May 15, 2015",2015,7046588,NO,NO,Mad-Max-Fury-Road
The Matrix Revolutions,"Matrix-Revolutions,-The","Nov 5, 2003",2003,5700150,NO,NO,"Matrix-Revolutions,-The"
Ready Player One,Ready-Player-One,"Mar 29, 2018",2018,8838976,NO,NO,Ready-Player-One
Chicken Little,Chicken-Little,"Nov 4, 2005",2005,0491675,NO,NO,Chicken-Little
Mission: Impossible III,Mission-Impossible-III,"May 5, 2006",2006,2132795,NO,NO,Mission-Impossible-III
Angels & Demons,Angels-&-Demons,"May 15, 2009",2009,1440730,NO,NO,Angels-&-Demons
Troy,Troy,"May 14, 2004",2004,0371823,NO,YES,Troy
The Last Airbender,"Last-Airbender,-The","Jul 1, 2010",2010,1829749,NO,NO,"Last-Airbender,-The"
Bee Movie,Bee-Movie,"Nov 2, 2007",2007,1152817,NO,YES,Bee-Movie
G-Force,G-Force,"Jul 24, 2009",2009,3680814,NO,NO,G-Force
Bolt,Bolt,"Nov 21, 2008",2008,0961103,NO,YES,Bolt
Wrath of the Titans,Wrath-of-the-Titans,"Mar 30, 2012",2012,6029108,NO,YES,Wrath-of-the-Titans
Beowulf,Beowulf,"Nov 16, 2007",2007,1125921,NO,YES,Beowulf
Dark Shadows,Dark-Shadows,"May 11, 2012",2012,3116188,NO,NO,Dark-Shadows
White House Down,White-House-Down,"Jun 28, 2013",2013,6677506,NO,NO,White-House-Down
The Wolfman,"Wolfman,-The","Feb 12, 2010",2010,6445640,NO,NO,"Wolfman,-The"
The Great Wall,"Great-Wall,-The","Feb 17, 2017",2017,7258958,NO,NO,"Great-Wall,-The"
Pan,Pan,"Oct 9, 2015",2015,5904644,NO,NO,Pan
Mars Needs Moms,Mars-Needs-Moms,"Mar 11, 2011",2011,2273989,NO,NO,Mars-Needs-Moms
Flushed Away,Flushed-Away,"Nov 3, 2006",2006,2135171,NO,NO,Flushed-Away
Madagascar 3: Europe's Most Wanted,Madagascar-3-Europe's-Most-Wanted,"Jun 8, 2012",2012,3116204,NO,NO,Madagascar-3-Europe's-Most-Wanted
Mission: ImpossibleâGhost Protocol,Mission-ImpossibleâGhost-Protocol,"Dec 16, 2011",2011,1229238,YES,YES,Mission-ImpossibleâGhost-Protocol
How to Train Your Dragon 2,How-to-Train-Your-Dragon-2,"Jun 13, 2014",2014,3721886,NO,NO,How-to-Train-Your-Dragon-2
Tarzan,Tarzan,"Jun 16, 1999",1999,1576469,NO,YES,Tarzan
Mr. Peabody & Sherman,Mr.-Peabody-&-Sherman,"Mar 7, 2014",2014,4847954,NO,YES,Mr.-Peabody-&-Sherman
Rise of the Guardians,Rise-of-the-Guardians,"Nov 21, 2012",2012,2194344,NO,YES,Rise-of-the-Guardians
Sahara,Sahara,"Apr 8, 2005",2005,0436982,NO,YES,Sahara
Ghostbusters,Ghostbusters,"Jul 15, 2016",2016,5885076,NO,NO,Ghostbusters
Die Another Day,Die-Another-Day,"Nov 22, 2002",2002,6673866,NO,YES,Die-Another-Day
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl,"Jul 9, 2003",2003,0395141,NO,YES,Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl
Star Trek,Star-Trek,"May 8, 2009",2009,9881570,NO,NO,Star-Trek
Armageddon,Armageddon,"Jul 1, 1998",1998,0139465,NO,YES,Armageddon
Men in Black 2,Men-in-Black-2,"Jul 3, 2002",2002,0120912,YES,YES,Men-in-Black-2
Captain America: The First Avenger,Captain-America-The-First-Avenger,"Jul 22, 2011",2011,5224072,NO,YES,Captain-America-The-First-Avenger
Kung Fu Panda 3,Kung-Fu-Panda-3,"Jan 29, 2016",2016,5423400,NO,NO,Kung-Fu-Panda-3
Lethal Weapon 4,Lethal-Weapon-4,"Jul 10, 1998",1998,5950002,NO,YES,Lethal-Weapon-4
G.I. Joe: Retaliation,G.I.-Joe-Retaliation,"Mar 27, 2013",2013,4151598,NO,NO,G.I.-Joe-Retaliation
The Last Samurai,"Last-Samurai,-The","Dec 5, 2003",2003,0602025,NO,NO,"Last-Samurai,-The"
Fun With Dick And Jane,Fun-With-Dick-And-Jane,"Dec 21, 2005",2005,1148648,NO,NO,Fun-With-Dick-And-Jane
Exodus: Gods and Kings,Exodus-Gods-and-Kings,"Dec 12, 2014",2014,7046098,NO,NO,Exodus-Gods-and-Kings
The BFG,"BFG,-The","Jul 1, 2016",2016,9653920,NO,NO,"BFG,-The"
Gods of Egypt,Gods-of-Egypt,"Feb 26, 2016",2016,5519642,NO,NO,Gods-of-Egypt
Spider-Man,Spider-Man,"May 3, 2002",2002,8319940,NO,NO,Spider-Man
Watchmen,Watchmen,"Mar 6, 2009",2009,1295071,YES,YES,Watchmen
Stealth,Stealth,"Jul 29, 2005",2005,0480812,NO,YES,Stealth
The Incredible Hulk,"Incredible-Hulk,-The","Jun 13, 2008",2008,3011226,NO,NO,"Incredible-Hulk,-The"
Hulk,Hulk,"Jun 20, 2003",2003,0395653,NO,NO,Hulk
Final Fantasy: The Spirits Within,Final-Fantasy-The-Spirits-Within,"Jul 11, 2001",2001,0315755,NO,YES,Final-Fantasy-The-Spirits-Within
"The Twilight Saga: Breaking Dawn, Part 2","Twilight-Saga-Breaking-Dawn,-Part-2,-The","Nov 16, 2012",2012,1673434,YES,YES,"Twilight-Saga-Breaking-Dawn,-Part-2,-The"
The Croods,"Croods,-The","Mar 22, 2013",2013,3339588,NO,NO,"Croods,-The"
The Revenant,"Revenant,-The","Dec 25, 2015",2015,5547434,NO,NO,"Revenant,-The"
The World is Not Enough,"World-is-Not-Enough,-The","Nov 19, 1999",1999,0348671,NO,YES,"World-is-Not-Enough,-The"
Rango,Rango,"Mar 4, 2011",2011,2121875,NO,NO,Rango
Master and Commander: The Far Side of the World,Master-and-Commander-The-Far-Side-of-the-World,"Nov 14, 2003",2003,0594869,NO,NO,Master-and-Commander-The-Far-Side-of-the-World
Turbo,Turbo,"Jul 17, 2013",2013,6676866,NO,NO,Turbo
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows,"Jun 3, 2016",2016,7048046,NO,NO,Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows
Happy Feet Two,Happy-Feet-Two,"Nov 18, 2011",2011,2933552,NO,NO,Happy-Feet-Two
Miami Vice,Miami-Vice,"Jul 28, 2006",2006,0380268,NO,YES,Miami-Vice
The Nutcracker and the Four Realms,"Nutcracker-and-the-Four-Realms,-The","Nov 2, 2018",2018,9773120,NO,NO,"Nutcracker-and-the-Four-Realms,-The"
War of the Worlds,War-of-the-Worlds,"Jun 29, 2005",2005,0425638,YES,YES,War-of-the-Worlds
Penguins of Madagascar,Penguins-of-Madagascar,"Nov 26, 2014",2014,6013894,NO,NO,Penguins-of-Madagascar
The Hunger Games: Catching Fire,"Hunger-Games-Catching-Fire,-The","Nov 22, 2013",2013,3358650,NO,NO,"Hunger-Games-Catching-Fire,-The"
Harry Potter and the Prisoner of Azkaban,Harry-Potter-and-the-Prisoner-of-Azkaban,"Jun 4, 2004",2004,0583411,NO,NO,Harry-Potter-and-the-Prisoner-of-Azkaban
The Bourne Ultimatum,"Bourne-Ultimatum,-The","Aug 3, 2007",2007,5925308,NO,NO,"Bourne-Ultimatum,-The"
Ant-Man and the Wasp,Ant-Man-and-the-Wasp,"Jul 6, 2018",2018,9768192,NO,NO,Ant-Man-and-the-Wasp
Kung Fu Panda,Kung-Fu-Panda,"Jun 6, 2008",2008,1287845,NO,YES,Kung-Fu-Panda
Ant-Man,Ant-Man,"Jul 17, 2015",2015,6102222,NO,NO,Ant-Man
Home,Home,"Mar 27, 2015",2015,6752160,NO,NO,Home
Mary Poppins Returns,Mary-Poppins-Returns,"Dec 19, 2018",2018,9193458,NO,YES,Mary-Poppins-Returns
Puss in Boots,Puss-in-Boots,"Oct 28, 2011",2011,7181940,NO,NO,Puss-in-Boots
Megamind,Megamind,"Nov 5, 2010",2010,7811782,NO,YES,Megamind
Bad Boys II,Bad-Boys-II,"Jul 18, 2003",2003,5208030,NO,NO,Bad-Boys-II
Rio 2,Rio-2,"Apr 11, 2014",2014,3744142,NO,NO,Rio-2
Salt,Salt,"Jul 23, 2010",2010,3159124,NO,NO,Salt
Noah,Noah,"Mar 28, 2014",2014,4462242,NO,YES,Noah
The Adventures of Tintin,"Adventures-of-Tintin,-The","Dec 21, 2011",2011,1965148,NO,YES,"Adventures-of-Tintin,-The"
After Earth,After-Earth,"May 31, 2013",2013,3589570,NO,YES,After-Earth
Australia,Australia,"Nov 26, 2008",2008,3408918,NO,NO,Australia
R.I.P.D.,R.I.P.D.,"Jul 19, 2013",2013,3056720,NO,NO,R.I.P.D.
How to Train Your Dragon: The Hidden World,How-to-Train-Your-Dragon-The-Hidden-World,"Feb 22, 2019",2019,9891812,NO,NO,How-to-Train-Your-Dragon-The-Hidden-World
"The Twilight Saga: Breaking Dawn, Part 1","Twilight-Saga-Breaking-Dawn,-Part-1,-The","Nov 18, 2011",2011,1324999,YES,YES,"Twilight-Saga-Breaking-Dawn,-Part-1,-The"
Dinosaur,Dinosaur,"May 19, 2000",2000,0283245,NO,YES,Dinosaur
Logan,Logan,"Mar 3, 2017",2017,7688694,NO,YES,Logan
Night at the Museum: Secret of the Tomb,Night-at-the-Museum-Secret-of-the-Tomb,"Dec 19, 2014",2014,7046152,NO,NO,Night-at-the-Museum-Secret-of-the-Tomb
Harry Potter and the Deathly Hallows: Part II,Harry-Potter-and-the-Deathly-Hallows-Part-II,"Jul 15, 2011",2011,1201607,YES,YES,Harry-Potter-and-the-Deathly-Hallows-Part-II
The Hunger Games: Mockingjay - Part 1,"Hunger-Games-Mockingjay---Part-1,-The","Nov 21, 2014",2014,7229580,NO,NO,"Hunger-Games-Mockingjay---Part-1,-The"
Harry Potter and the Sorcerer's Stone,Harry-Potter-and-the-Sorcerer's-Stone,"Nov 16, 2001",2001,7258300,NO,NO,Harry-Potter-and-the-Sorcerer's-Stone
Harry Potter and the Deathly Hallows: Part I,Harry-Potter-and-the-Deathly-Hallows-Part-I,"Nov 19, 2010",2010,0926084,YES,YES,Harry-Potter-and-the-Deathly-Hallows-Part-I
The Da Vinci Code,"Da-Vinci-Code,-The","May 19, 2006",2006,3410006,NO,NO,"Da-Vinci-Code,-The"
X-Men 2,X-Men-2,"May 2, 2003",2003,0290334,YES,YES,X-Men-2
Fast Five,Fast-Five,"Apr 29, 2011",2011,7299022,NO,NO,Fast-Five
Teenage Mutant Ninja Turtles,Teenage-Mutant-Ninja-Turtles,"Aug 8, 2014",2014,7226646,NO,NO,Teenage-Mutant-Ninja-Turtles
Sherlock Holmes: A Game of Shadows,Sherlock-Holmes-A-Game-of-Shadows,"Dec 16, 2011",2011,3024512,NO,NO,Sherlock-Holmes-A-Game-of-Shadows
The Day After Tomorrow,"Day-After-Tomorrow,-The","May 28, 2004",2004,5661520,NO,YES,"Day-After-Tomorrow,-The"
The Boss Baby,"Boss-Baby,-The","Mar 31, 2017",2017,6932084,NO,YES,"Boss-Baby,-The"
Clash of the Titans,Clash-of-the-Titans,"Apr 1, 2010",2010,7413964,NO,NO,Clash-of-the-Titans
Trolls,Trolls,"Nov 4, 2016",2016,1734135,NO,YES,Trolls
Prometheus,Prometheus,"Jun 8, 2012",2012,6530484,NO,NO,Prometheus
The Bourne Legacy,"Bourne-Legacy,-The","Aug 10, 2012",2012,5217490,NO,YES,"Bourne-Legacy,-The"
Batman & Robin,Batman-&-Robin,"Jun 20, 1997",1997,0118688,YES,YES,Batman-&-Robin
Skyscraper,Skyscraper,"Jul 13, 2018",2018,9114032,NO,NO,Skyscraper
Total Recall,Total-Recall,"Aug 3, 2012",2012,3995162,NO,NO,Total-Recall
Assassin's Creed,Assassin's-Creed,"Dec 21, 2016",2016,2094766,YES,YES,Assassin's-Creed
Monster Trucks,Monster-Trucks,"Jan 13, 2017",2017,6425852,NO,NO,Monster-Trucks
The 13th Warrior,"13th-Warrior,-The","Aug 27, 1999",1999,0120657,YES,YES,"13th-Warrior,-The"
How the Grinch Stole Christmas,How-the-Grinch-Stole-Christmas,"Nov 17, 2000",2000,7245650,NO,NO,How-the-Grinch-Stole-Christmas
Mission: Impossible 2,Mission-Impossible-2,"May 24, 2000",2000,0120755,YES,YES,Mission-Impossible-2
The Perfect Storm,"Perfect-Storm,-The","Jun 30, 2000",2000,0177971,YES,YES,"Perfect-Storm,-The"
Jason Bourne,Jason-Bourne,"Jul 29, 2016",2016,6383910,NO,YES,Jason-Bourne
Fantastic Four: Rise of the Silver Surfer,Fantastic-Four-Rise-of-the-Silver-Surfer,"Jun 15, 2007",2007,1057320,NO,NO,Fantastic-Four-Rise-of-the-Silver-Surfer
Life of Pi,Life-of-Pi,"Nov 21, 2012",2012,2737206,NO,NO,Life-of-Pi
Ghost Rider,Ghost-Rider,"Feb 16, 2007",2007,5688754,NO,YES,Ghost-Rider
Rampage,Rampage,"Apr 13, 2018",2018,8838982,NO,NO,Rampage
Charlie's Angels: Full Throttle,Charlie's-Angels-Full-Throttle,"Jun 27, 2003",2003,0820465,NO,NO,Charlie's-Angels-Full-Throttle
Elysium,Elysium,"Aug 9, 2013",2013,3336454,NO,NO,Elysium
Oblivion,Oblivion,"Apr 19, 2013",2013,3660584,NO,YES,Oblivion
Power Rangers,Power-Rangers,"Mar 24, 2017",2017,7265920,NO,YES,Power-Rangers
Stuart Little 2,Stuart-Little-2,"Jul 19, 2002",2002,0388307,NO,NO,Stuart-Little-2
RoboCop,RoboCop,"Feb 12, 2014",2014,3548684,NO,YES,RoboCop
The Chronicles of Riddick,"Chronicles-of-Riddick,-The","Jun 11, 2004",2004,0407658,NO,YES,"Chronicles-of-Riddick,-The"
Fantastic Four,Fantastic-Four,"Aug 7, 2015",2015,5916078,NO,NO,Fantastic-Four
Speed Racer,Speed-Racer,"May 9, 2008",2008,1055136,NO,YES,Speed-Racer
The Island,"Island,-The","Jul 22, 2005",2005,0377309,YES,YES,"Island,-The"
How Do You Know?,How-Do-You-Know?,"Dec 17, 2010",2010,1341188,NO,YES,How-Do-You-Know
Knight and Day,Knight-and-Day,"Jun 23, 2010",2010,5304900,NO,NO,Knight-and-Day
Venom,Venom,"Oct 5, 2018",2018,9500684,NO,YES,Venom
Star Wars Ep. I: The Phantom Menace,Star-Wars-Ep.-I-The-Phantom-Menace,"May 19, 1999",1999,0120915,YES,YES,Star-Wars-Ep.-I-The-Phantom-Menace
Star Wars Ep. III: Revenge of the Sith,Star-Wars-Ep.-III-Revenge-of-the-Sith,"May 19, 2005",2005,0121766,YES,YES,Star-Wars-Ep.-III-Revenge-of-the-Sith
Star Wars Ep. II: Attack of the Clones,Star-Wars-Ep.-II-Attack-of-the-Clones,"May 16, 2002",2002,0121765,YES,YES,Star-Wars-Ep.-II-Attack-of-the-Clones
"Monsters, Inc.","Monsters,-Inc.","Nov 2, 2001",2001,6483658,NO,YES,"Monsters,-Inc."
The Wolverine,"Wolverine,-The","Jul 26, 2013",2013,5342040,NO,NO,"Wolverine,-The"
Dante's Peak,Dante's-Peak,"Feb 7, 1997",1997,6173150,NO,NO,Dante's-Peak
The Huntsman: Winter's War,"Huntsman-Winter's-War,-The","Apr 22, 2016",2016,5670790,NO,NO,"Huntsman-Winter's-War,-The"
Windtalkers,Windtalkers,"Jun 14, 2002",2002,7322004,NO,NO,Windtalkers
AstÃ©rix aux Jeux Olympiques,AstÃ©rix-aux-Jeux-Olympiques,"Jul 4, 2008",2008,NO ID FOUND,NO,NO,AstÃ©rix-aux-Jeux-Olympiques
Gulliver's Travels,Gulliver's-Travels,"Dec 25, 2010",2010,1827159,NO,NO,Gulliver's-Travels
Ferdinand,Ferdinand,"Dec 15, 2017",2017,9174226,NO,NO,Ferdinand
Deadpool 2,Deadpool-2,"May 18, 2018",2018,8838988,NO,NO,Deadpool-2
Gravity,Gravity,"Oct 4, 2013",2013,3393694,NO,YES,Gravity
Night at the Museum,Night-at-the-Museum,"Dec 22, 2006",2006,1670892,NO,NO,Night-at-the-Museum
Mr. and Mrs. Smith,Mr.-and-Mrs.-Smith,"Jun 10, 2005",2005,0356910,YES,YES,Mr.-and-Mrs.-Smith
San Andreas,San-Andreas,"May 29, 2015",2015,4547120,NO,YES,San-Andreas
The Smurfs,"Smurfs,-The","Jul 29, 2011",2011,2111781,NO,NO,"Smurfs,-The"
Live Free or Die Hard,Live-Free-or-Die-Hard,"Jun 27, 2007",2007,3399372,NO,YES,Live-Free-or-Die-Hard
The Divergent Series: Insurgent,"Divergent-Series-Insurgent,-The","Mar 20, 2015",2015,4516496,NO,YES,"Divergent-Series-Insurgent,-The"
Ocean's Twelve,Ocean's-Twelve,"Dec 10, 2004",2004,0594876,NO,NO,Ocean's-Twelve
Tomorrow Never Dies,Tomorrow-Never-Dies,"Dec 19, 1997",1997,5363032,NO,YES,Tomorrow-Never-Dies
The Patriot,"Patriot,-The","Jun 28, 2000",2000,0249197,NO,YES,"Patriot,-The"
300: Rise of an Empire,300-Rise-of-an-Empire,"Mar 7, 2014",2014,4002188,NO,NO,300-Rise-of-an-Empire
The Aviator,"Aviator,-The","Dec 17, 2004",2004,0466438,NO,YES,"Aviator,-The"
Passengers,Passengers,"Dec 21, 2016",2016,4624646,NO,YES,Passengers
The Green Hornet,"Green-Hornet,-The","Jan 14, 2011",2011,6140514,NO,NO,"Green-Hornet,-The"
Miss Peregrine's Home for Peculiar Children,Miss-Peregrine's-Home-for-Peculiar-Children,"Sep 30, 2016",2016,6509162,NO,NO,Miss-Peregrine's-Home-for-Peculiar-Children
Real Steel,Real-Steel,"Oct 7, 2011",2011,1935693,NO,NO,Real-Steel
The A-Team,"A-Team,-The","Jun 11, 2010",2010,1386588,YES,YES,"A-Team,-The"
The Smurfs 2,"Smurfs-2,-The","Jul 31, 2013",2013,3899884,NO,NO,"Smurfs-2,-The"
The Divergent Series: Allegiant,"Divergent-Series-Allegiant,-The","Mar 18, 2016",2016,7047774,NO,NO,"Divergent-Series-Allegiant,-The"
The Taking of Pelham 123,"Taking-of-Pelham-123,-The","Jun 12, 2009",2009,1455307,NO,NO,"Taking-of-Pelham-123,-The"
Ender's Game,Ender's-Game,"Nov 1, 2013",2013,4430314,NO,NO,Ender's-Game
Home on the Range,Home-on-the-Range,"Apr 2, 2004",2004,0299172,YES,YES,Home-on-the-Range
Speed 2: Cruise Control,Speed-2-Cruise-Control,"Jun 13, 1997",1997,0361873,NO,YES,Speed-2-Cruise-Control
Kingdom of Heaven,Kingdom-of-Heaven,"May 6, 2005",2005,0458406,NO,NO,Kingdom-of-Heaven
Ghost in the Shell,Ghost-in-the-Shell,"Mar 31, 2017",2017,9490714,NO,YES,Ghost-in-the-Shell
Around the World in 80 Days,Around-the-World-in-80-Days,"Jun 16, 2004",2004,2608716,NO,NO,Around-the-World-in-80-Days
The Lord of the Rings: The Fellowship of the Ring,"Lord-of-the-Rings-The-Fellowship-of-the-Ring,-The","Dec 19, 2001",2001,7258332,NO,NO,"Lord-of-the-Rings-The-Fellowship-of-the-Ring,-The"
The Cat in the Hat,"Cat-in-the-Hat,-The","Nov 21, 2003",2003,0421957,NO,YES,"Cat-in-the-Hat,-The"
Ali,Ali,"Dec 25, 2001",2001,3813854,NO,NO,Ali
The Martian,"Martian,-The","Oct 2, 2015",2015,5545306,NO,NO,"Martian,-The"
