passive_ratio,pct_coref_sents,tot_unique_per_sent,tot_stop_per_sent,std_of_overall_polarity,wav_polarity,avg_FK,sign_check_char_mention_polairty,std_of_char_mention_polarity,Processed Title,avg_sim_score,Success
0.03137651821862348,0.05465587044534413,2.214574898785425,0.5485829959514171,0.7781244347789112,0.8127515182186236,2.4,0,0.7806838899324104,Avatar,0.2975144496631753,1
0.030601092896174863,0.06557377049180327,2.3737704918032785,0.5857923497267761,0.7758030188134099,0.6835028415300547,3.0,0,0.7872374294963368,"Avengers,-The",0.2847540414335931,1
0.029766693483507644,0.18584070796460173,2.172968624296058,0.4641995172968624,0.7849528760377913,0.9033551890587288,2.8,0,0.7961586374586411,Men-in-Black-3,0.2642651122064035,1
0.027926960257787327,0.06015037593984963,2.3609022556390977,0.6251342642320086,0.8713142592658518,-0.2946799140708915,2.4,0,0.9060343657941458,Guardians-of-the-Galaxy-Vol-2,0.25672634008849293,1
0.03552397868561278,0.04618117229129663,2.7921847246891653,0.8579040852575488,0.7011909651443035,0.6870861456483126,2.4,0,0.7052116051228878,2012,0.17455156063151098,1
0.06374501992031872,0.03386454183266932,3.0278884462151394,0.896414342629482,0.9474721112518301,-0.3845258964143426,3.2,0,0.7416985387608634,Terminator-Salvation,0.24202752254504858,1
0.04749679075738127,0.021822849807445442,2.4531450577663665,0.6816431322207959,0.9552085523067724,-0.374191270860077,2.6,0,0.4860709972833187,"Mummy,-The",0.24346177690467524,1
0.033913043478260865,0.16521739130434782,2.323478260869565,0.5460869565217391,0.004938663786896222,0.9984311304347826,2.8,1,0.0003826225293941377,"Great-Gatsby,-The",0.22658903920173867,1
0.03021978021978022,0.03571428571428571,1.760989010989011,0.5009157509157509,0.7890931478602511,0.8157391941391942,1.8,0,0.7463654161334112,Thor-Ragnarok,0.1934833064418349,1
0.023529411764705882,0.047058823529411764,1.6502673796791445,0.5026737967914439,0.0043347894989261,0.9975807486631016,1.0,0,0.398838757394514,Up,0.2594006351281111,1
0.0421216848673947,0.10140405616224647,2.308892355694228,0.517160686427457,0.908462259865538,-0.3037921996879875,2.2,0,0.9724493089102384,Snow-White-and-the-Huntsman,0.30486746947894555,1
0.0555984555984556,0.04324324324324325,1.827799227799228,0.4517374517374517,0.7791949548091287,0.7992497297297296,2.4,0,0.7960032427069629,Interstellar,0.26755807105769014,1
0.03392330383480826,0.0752212389380531,2.7625368731563418,0.8274336283185841,0.7870900873470584,0.7090212389380531,2.2,0,0.7889383839058662,Beauty-and-the-Beast,0.2160107100971144,1
0.03071253071253072,0.10196560196560196,2.2616707616707616,0.6154791154791155,0.0052856030876334325,0.9960190417690418,1.8,1,0.005477736758917885,Shrek-the-Third,0.32964373778869127,1
0.038880248833592534,0.07620528771384137,1.9409020217729396,0.494556765163297,0.8986684563285839,0.4724051321928461,2.6,0,0.9422951788054528,Inception,0.3570221550948711,1
0.03350083752093802,0.031825795644891124,2.6733668341708543,0.8073701842546064,0.9555496541781592,0.6479768844221104,2.8,0,0.7694532770740534,Godzilla,0.21933808362550958,1
0.05307599517490953,0.05428226779252111,2.7551266586248495,0.6936067551266586,0.0024936719912610843,0.9980159227985524,3.4,1,0.0019446336415890886,"Curious-Case-of-Benjamin-Button,-The",0.2528446666994625,1
0.02209944751381216,0.016574585635359115,2.1068139963167587,0.7458563535911602,0.7612406100570305,-0.8410441988950277,0.8,0,0.7620435746071218,War-for-the-Planet-of-the-Apes,0.2548664229911469,1
0.02600216684723727,0.0552546045503792,1.7854821235102925,0.4723726977248104,0.8330110745962505,-0.9000511375947996,0.8,0,0.488462787118937,Frozen,0.3458195011093315,1
0.02883720930232558,0.0372093023255814,1.992558139534884,0.4772093023255814,0.7736999816466329,0.8393084651162791,2.4,0,0.7918757791472094,Zootopia,0.20393024120314776,1
0.021052631578947368,0.07368421052631577,2.726315789473684,1.0210526315789474,0.7700024638921619,-0.6796071052631579,1.2,0,0.791352558598252,"Matrix-Reloaded,-The",0.19606657104859204,1
0.023458445040214475,0.15214477211796246,1.89745308310992,0.4028150134048257,0.9771672618339196,-0.12270093833780155,1.8,0,0.9794693093711512,Hancock,0.2851957786774409,1
0.03968770331815225,0.13793103448275862,2.2908262849707217,0.439167208848406,0.797892738154697,-0.5441292778139233,3.2,0,0.7995000262664161,Thor,0.39227666023750574,1
0.03048780487804878,0.1559233449477352,2.7865853658536586,0.4869337979094077,0.7827860739691272,-0.4795737804878049,3.4,0,0.7973287016030466,X-Men-Origins-Wolverine,0.28607635730490827,1
0.06183115338882283,0.026159334126040427,2.8537455410225916,0.6551724137931034,0.7099866832553975,-0.7317637336504161,4.4,0,0.8193562961251961,Angels-&-Demons,0.2706510028331082,1
0.027946537059538274,0.04495747266099635,2.099635479951397,0.6366950182260024,0.7639288788886044,0.7066969623329282,1.4,0,0.7934112719138796,How-to-Train-Your-Dragon-2,0.34448241081548053,1
0.056944444444444436,0.05,3.151388888888889,0.7361111111111112,0.972259794499392,0.05339069444444446,4.6,0,0.9769310735154246,Star-Trek,0.15225395417786677,1
0.07126696832579185,0.06787330316742081,2.8529411764705883,0.7126696832579186,0.790837650595873,0.10275056561085973,4.2,0,0.7984782316381581,"Last-Samurai,-The",0.23487772735801948,1
0.03033980582524272,0.10315533980582524,2.158980582524272,0.6080097087378641,0.7491020918406248,0.8246626213592234,2.4,0,0.7809433562045329,Spider-Man,0.23046788357772563,1
0.034361851332398316,0.1570827489481066,2.4179523141654977,0.4859747545582048,0.9349251114394136,-0.21025084151472648,3.2,0,0.9731988602541619,Watchmen,0.2550207794569392,1
