Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($),Domestic ROI (%),Worldwide ROI (%),Success
Beasts-of-the-Southern-Wild,"Jun 27, 2012",1800000,12795746.0,23265132.0,610.8747777777778,1192.5073333333332,1
I-Spit-on-Your-Grave,"Oct 8, 2010",1750000,93051.0,1278471.0,-94.6828,-26.944514285714284,0
In-the-Bedroom,"Nov 23, 2001",1700000,35930604.0,42137871.0,2013.5649411764707,2378.698294117647,1
From-Here-to-Eternity,"Aug 5, 1953",1650000,30500000.0,30500000.0,1748.4848484848487,1748.4848484848487,1
Insidious,"Apr 1, 2011",1500000,54009150.0,99870886.0,3500.61,6558.059066666668,1
Repo-Man,"Mar 2, 1984",1500000,2300000.0,2300000.0,53.33333333333334,53.33333333333334,0
Blood-Simple,"Jan 18, 1985",1500000,1690913.0,2730877.0,12.727533333333335,82.05846666666666,0
Killing-Zoe,"Aug 31, 1994",1500000,418953.0,418953.0,-72.0698,-72.0698,0
"Believer,-The","May 17, 2002",1500000,406035.0,1840248.0,-72.931,22.6832,0
"Hebrew-Hammer,-The","Dec 19, 2003",1300000,77755.0,90213.0,-94.01884615384616,-93.06053846153844,0
Dear-White-People,"Oct 17, 2014",1250000,4404154.0,5403771.0,252.33232,332.30168,1
Saw,"Oct 29, 2004",1200000,55968727.0,103880027.0,4564.060583333333,8556.668916666667,1
Strangers-on-a-Train,"Jul 3, 1951",1200000,7000000.0,7000000.0,483.33333333333326,483.33333333333326,1
Reservoir-Dogs,"Oct 23, 1992",1200000,2832029.0,2832029.0,136.00241666666668,136.00241666666668,1
"Rocky-Horror-Picture-Show,-The","Sep 26, 1975",1200000,1414845.0,1615976.0,17.90375,34.66466666666667,0
Rocky,"Nov 21, 1976",1000000,117235147.0,225000000.0,11623.5147,22400.0,1
Taxi-Driver,"Feb 8, 1976",1000000,28262574.0,28316211.0,2726.2574,2731.6211,1
Hellraiser,"Sep 18, 1987",1000000,14564000.0,14575148.0,1356.4,1357.5148,1
Blue-Valentine,"Dec 29, 2010",1000000,9737892.0,16566240.0,873.7892,1556.624,1
"Sessions,-The","Oct 19, 2012",1000000,6002451.0,11495204.0,500.2451,1049.5204,1
Martha-Marcy-May-Marlene,"Oct 21, 2011",1000000,2981038.0,5438911.0,198.1038,443.8911,1
Frozen-River,"Aug 1, 2008",1000000,2511476.0,6030129.0,151.1476,503.0129,1
"Battle-of-Shaker-Heights,-The","Aug 22, 2003",1000000,280351.0,839145.0,-71.9649,-16.0855,0
Fruitvale-Station,"Jul 12, 2013",900000,16098998.0,17549645.0,1688.7775555555554,1849.960555555556,1
American-Graffiti,"Aug 11, 1973",777000,115000000.0,140000000.0,14700.5148005148,17918.018018018018,1
Brick,"Mar 31, 2006",450000,2075743.0,4243996.0,361.2762222222222,843.1102222222223,1
It-Happened-One-Night,"Feb 22, 1934",325000,2500000.0,2500000.0,669.2307692307693,669.2307692307693,1
Chasing-Amy,"Apr 4, 1997",250000,12006514.0,15155095.0,4702.6056,5962.0380000000005,1
Pi,"Jul 10, 1998",68000,3221152.0,4678513.0,4636.988235294118,6780.16617647059,1
Clerks,"Oct 19, 1994",27000,3073428.0,3894240.0,11283.066666666668,14323.111111111111,1
